dataset_name,model_name,cka_avg_test,cka_avg_train,dist_avg_train,dist_avg_test,dist_norm_avg_train,dist_norm_avg_test,l2_norm_avg_train,l2_norm_avg_test,cka_0_train,cka_0_test,cka_11_train,cka_11_test,cka_15_train,cka_15_test,cka_high_mean_train,cka_mid_mean_train,cka_low_mean_train,cka_high_mean_test,cka_mid_mean_test,cka_low_mean_test,cka_avg_test_ft,cka_avg_train_ft,dist_avg_train_ft,dist_avg_test_ft,dist_norm_avg_train_ft,dist_norm_avg_test_ft,l2_norm_avg_train_ft,l2_norm_avg_test_ft,cka_0_train_ft,cka_0_test_ft,cka_11_train_ft,cka_11_test_ft,cka_15_train_ft,cka_15_test_ft,cka_high_mean_train_ft,cka_mid_mean_train_ft,cka_low_mean_train_ft,cka_high_mean_test_ft,cka_mid_mean_test_ft,cka_low_mean_test_ft,MSC_train,MSC_test,V_intra_train,V_intra_test,S_inter_train,S_inter_test,clustering_diversity_train,clustering_diversity_test,spectral_diversity_train,spectral_diversity_test,MSC_train_ft,MSC_test_ft,V_intra_train_ft,V_intra_test_ft,S_inter_train_ft,S_inter_test_ft,clustering_diversity_train_ft,clustering_diversity_test_ft,spectral_diversity_train_ft,spectral_diversity_test_ft
aircraft,hivit_base_patch16_224.dino,0.9011822938919068,0.8833465576171875,72.74507141113281,72.95295715332031,0.622918963432312,0.6235924959182739,64.17193603515625,64.30653381347656,0.6948323845863342,0.7325263619422913,0.8884533047676086,0.9072256684303284,,,0.9926040768623352,0.9788710474967957,0.8950643539428711,0.9934154152870178,0.9824360013008118,0.9076811075210572,0.7811325192451477,0.7741879224777222,56.915672302246094,56.98974609375,0.5076630115509033,0.5090326070785522,61.7171630859375,61.75200653076172,0.5915016531944275,0.6234714984893799,0.7287576198577881,0.7173076868057251,,,0.9679893851280212,0.9593601822853088,0.916932225227356,0.9659829139709472,0.9605731964111328,0.9276703596115112,-0.02980692518874611,-0.03271011134011757,0.2908345907778479,0.28303496466144784,0.3336971239416822,0.33359372170923896,0.1553054331374644,0.1368836259608665,0.03936740459922033,0.02939335711347232,0.6184499355315224,0.543437829100059,0.33784171535839996,0.39340459383785314,0.9600682082434856,0.95828933512641,0.20802867922008547,0.1102976502445842,0.06781073263249336,0.031009686724194935
aircraft,hivit_base_patch16_224.in1k_mocov3,0.8961269855499268,0.8770550489425659,8.820255279541016,8.84404182434082,0.5956567525863647,0.5975190997123718,8.557538032531738,8.573452949523926,0.6587470173835754,0.7032187581062317,0.8780660033226013,0.9065113067626952,,,0.9901686906814576,0.9877514243125916,0.8774338960647583,0.993739128112793,0.9897005558013916,0.8932340145111084,0.8580936789512634,0.8310399055480957,9.077564239501951,9.096986770629885,0.5671602487564087,0.569043755531311,8.684186935424805,8.692338943481445,0.6732721924781799,0.7273334264755249,0.8167572617530823,0.8436291217803955,,,0.9905810952186584,0.9781585931777954,0.934266984462738,0.9913498163223268,0.9830451607704164,0.9429054260253906,-0.02241574344890033,-0.02747198508797881,0.1134718070587422,0.11224532808130087,0.13250153668754988,0.13243895697951685,0.1013816550925926,0.09636836128581412,0.02937682297749397,0.023458112054650888,0.5228098308800093,0.4311458565504385,0.398155120761647,0.46232328331764305,0.9369711490173648,0.9346388822244156,0.16771278490028493,0.1228462395178197,0.06437272258484976,0.03719279573023694
aircraft,hivit_base_patch16_224.mae,0.8881218433380127,0.8680473566055298,11.94702434539795,11.972784042358398,0.5420602560043335,0.5427629947662354,11.06549072265625,11.083778381347656,0.6746780872344971,0.7033029794692993,0.8863528966903687,0.9027002453804016,,,0.9872509241104126,0.9786953926086426,0.868858814239502,0.9888931512832642,0.982729196548462,0.8782972097396851,0.5412130951881409,0.5199148654937744,16.527759552001953,16.404991149902344,0.5976978540420532,0.597836971282959,18.210844039916992,18.2096004486084,0.4913402795791626,0.506616473197937,0.3839164972305298,0.4064072370529175,,,0.9007021188735962,0.8513888716697693,0.9235454797744752,0.907246470451355,0.8583072423934937,0.9283687472343444,-0.10753544306960446,-0.08449198774878823,0.05533026863526749,0.054270320267524805,0.057854828761575966,0.0581219156934669,0.07102196848290598,0.07413576607267645,0.017830923963815738,0.015947868332922836,0.5698911125668057,0.43225211710062095,0.34770533316678337,0.44403592430136246,0.95929711958036,0.9554263879990008,0.1914535478988604,0.1281408324598183,0.06193899711928307,0.03268664110006776
aircraft,hivit_base_patch16_224.orig_in21k,0.8338279128074646,0.818028450012207,13.887813568115234,13.915714263916016,0.6020435094833374,0.6038769483566284,13.569334983825684,13.592992782592772,0.721100389957428,0.750511884689331,0.5173433423042297,0.5421308279037476,,,0.8466086983680725,0.9779801964759828,0.9268250465393066,0.8559147715568542,0.980595886707306,0.9373693466186525,0.6970137357711792,0.6710785627365112,14.870792388916016,14.868610382080078,0.6130424737930298,0.6134099364280701,13.48095989227295,13.494895935058594,0.5586841702461243,0.5927413702011108,0.3052893579006195,0.344823956489563,,,0.8007116317749023,0.9775535464286804,0.9132477641105652,0.8184537291526794,0.9791776537895204,0.9274082779884338,-0.010937580849127717,-0.004778203662594728,0.2887131649975947,0.2841914388836972,0.3866991495090604,0.38493985453277574,0.16032040153133903,0.146486285814116,0.04594144831674221,0.03808675415860782,0.5721947575978454,0.48946242340999985,0.3676040400324366,0.4237975007761277,0.9537808013395002,0.9542562770870124,0.18789368545227916,0.1376217461565339,0.07226360403001308,0.047453331497480274
aircraft,hivit_base_patch16_224_miil.in21k,0.8623701930046082,0.8528745174407959,13.242826461791992,13.26386547088623,0.5758021473884583,0.5785667300224304,13.732040405273438,13.762922286987305,0.7137245535850525,0.7300052642822266,0.7002573013305664,0.7206956148147583,,,0.9272948503494264,0.9793182611465454,0.9172936081886292,0.935833752155304,0.980726718902588,0.9221476316452026,0.6699905395507812,0.6598296761512756,15.317885398864746,15.317587852478027,0.6201743483543396,0.6208652257919312,14.048213005065918,14.0484037399292,0.5394291877746582,0.5564028024673462,0.32725638151168823,0.3371209502220154,,,0.8154808282852173,0.9728326797485352,0.9173091053962708,0.8260802030563354,0.9708585739135742,0.9250596761703492,-0.03998200940285933,-0.05709981429143914,0.21857388269420153,0.20690277648656183,0.23849794572710328,0.2314639938528496,0.07793163506054131,0.07966074860237597,0.021048566135458455,0.018466060172836737,0.5794739956056277,0.5070131591389765,0.3613420418860335,0.4108092605112588,0.9455411835043288,0.9451933974017468,0.11804442663817664,0.08630000873515024,0.056244370503685415,0.03517390037857512
aircraft,hivit_base_patch16_clip_224.laion2b,0.8595055341720581,0.8395462036132812,62.165679931640625,62.299949645996094,0.6266566514968872,0.6277371644973755,58.2520751953125,58.379600524902344,0.6725378632545471,0.6879881620407104,0.8282999396324158,0.8466764688491821,,,0.9699786901474,0.9804243445396424,0.8385920524597168,0.9707099199295044,0.9843227863311768,0.8472270369529724,0.7995827794075012,0.7825027704238892,61.760215759277344,61.64637756347656,0.6179674863815308,0.6181501150131226,64.81361389160156,64.81047821044922,0.5703251361846924,0.5958203673362732,0.6256524920463562,0.6495168209075928,,,0.9110533595085144,0.9804476499557496,0.8894385099411011,0.9173529744148254,0.9840814471244812,0.8972607851028442,0.05373283180081815,0.055572096933191435,0.27174536095017293,0.2695485242791504,0.3910299189340198,0.38943717195203387,0.1113990718482906,0.1008418501048218,0.03313120077244747,0.029645421407507654,0.5822574316516902,0.48052851334676,0.2349637637556298,0.29027923018781615,0.7168922422895425,0.7120646835826177,0.15659916978276353,0.10055249825296995,0.0673291692749048,0.03774212610046818
aircraft,hivit_base_patch16_siglip_224.v2_webli,0.8342464566230774,0.8274514675140381,82.31655883789062,82.00126647949219,0.5695326328277588,0.5696879625320435,87.93669128417969,87.85896301269531,0.554495096206665,0.578490674495697,0.8062923550605774,0.809614360332489,,,0.9800727367401124,0.9682819843292236,0.8405748605728149,0.9793455600738524,0.9692955017089844,0.8460307121276855,0.5990819931030273,0.573051929473877,91.49071502685548,91.38396453857422,0.6337404251098633,0.6353185176849365,98.04000091552734,98.02254486083984,0.41553542017936707,0.4460086524486542,0.3553469479084015,0.40179166197776794,,,0.8364460468292236,0.9603549242019652,0.8812873959541321,0.8593964576721191,0.948448121547699,0.8996434807777405,-0.03878347438792662,-0.05397308557187724,0.2231529217313783,0.2137080541563896,0.23914992783553768,0.2331523923286747,0.2442985165153134,0.2344104865478686,0.024646614272242937,0.024831681319002832,0.622160056926322,0.5778730319578245,0.3493550846711653,0.3838563965330992,0.9669998103862022,0.9665495098206136,0.18701867432336175,0.1716306887665968,0.04418142727361276,0.037563217979557105
cars,hideit3_base_patch16_224.fb_in1k,NaN,0.6899849772453308,27.16263961791992,27.05604553222656,0.6366013288497925,0.6356654167175293,24.648712158203125,24.61823081970215,0.38070422410964966,NaN,0.6981126666069031,NaN,,,0.9642731547355652,0.933886170387268,0.8038736581802368,NaN,NaN,NaN,NaN,0.6148141622543335,29.550933837890625,29.515682220458984,0.6387902498245239,0.6392786502838135,25.918643951416016,25.851104736328125,0.4502391517162323,NaN,0.4806061089038849,NaN,,,0.8827567100524902,0.9291843175888062,0.9053264260292052,NaN,NaN,NaN,0.13966166430015972,0.15164355482677436,0.2072817124936737,0.2037861978221989,0.27114136449490295,0.27114525901967534,0.12979822834645668,0.11059287107834705,0.04571005944504825,0.03971217450483766,0.20198570924127565,0.20030807369055703,0.7614773232253306,0.7580258098591466,0.8875003458255151,0.8846715555554837,0.20547512941090695,0.11958768929413832,0.05665382081911632,0.02491202572035411
cars,hideit3_base_patch16_224.fb_in22k_ft_in1k,NaN,0.6372957229614258,31.304105758666992,31.163497924804688,0.6553105115890503,0.6542340517044067,32.232879638671875,32.18288803100586,0.3260354697704315,NaN,0.4674180746078491,NaN,,,0.8474676012992859,0.9568597078323364,0.7730414271354675,NaN,NaN,NaN,NaN,0.5871491432189941,34.655914306640625,34.47972106933594,0.6416734457015991,0.6397590637207031,31.11351776123047,30.92924118041992,0.4250504672527313,NaN,0.32025983929634094,NaN,,,0.8091859817504883,0.9563958644866944,0.901547074317932,NaN,NaN,NaN,0.16608923843233692,0.1824447541802569,0.4661772820468437,0.4568761780840746,0.6012754485807935,0.602519624816731,0.11149387576552933,0.0936760517262084,0.04785032140144838,0.03891525851197974,0.193396620273575,0.18695389428704773,0.7573870923919412,0.7576843665356672,0.8751501837232618,0.8716631753135031,0.21304726232137647,0.1228963599469824,0.07310783722269254,0.03253614673854182
cars,hideit_base_patch16_224.fb_in1k,NaN,0.6842241287231445,24.78528594970703,24.676313400268555,0.4791258573532105,0.478850930929184,23.25840759277344,23.243030548095703,0.39434683322906494,NaN,0.588831901550293,NaN,,,0.90884530544281,0.9420840740203856,0.7702672481536865,NaN,NaN,NaN,NaN,0.6552849411964417,26.83322525024414,26.758153915405273,0.5411375761032104,0.5406545996665955,22.78132438659668,22.707195281982425,0.5262150168418884,NaN,0.4371486008167267,NaN,,,0.8484933376312256,0.939495086669922,0.924859344959259,NaN,NaN,NaN,0.09534709737398683,0.09878046435384116,0.5223598927646953,0.5140710677468487,0.6231578802867698,0.6188681678983465,0.16647528433945755,0.145601798641581,0.05228367279677253,0.044867389061778944,0.2154899835101884,0.19139119141030475,0.7397926137348634,0.7597976848100739,0.8805003771972043,0.8768765870797116,0.24639449365704288,0.16483396491124302,0.06998762504009437,0.03534549021373981
cars,hiresnet50.a1_in1k,NaN,0.5307393670082092,9.435173988342283,9.434370994567873,0.4950580000877381,0.49651598930358887,21.957603454589844,21.98391342163086,0.19969764351844788,NaN,0.6098148822784424,NaN,0.46454906463623047,NaN,0.8112289905548096,0.8116191029548645,0.555566132068634,NaN,NaN,NaN,NaN,0.4894593358039856,10.939567565917969,10.89116382598877,0.33615922927856445,0.3345092236995697,22.51982307434082,22.520191192626953,0.20072679221630096,NaN,0.5684292912483215,NaN,0.4365447759628296,NaN,0.7450759410858154,0.8142954111099243,0.5402891039848328,NaN,NaN,NaN,0.03883737079500051,0.04054822170200192,0.07559863887622857,0.07511149253733565,0.0759804656056933,0.07582483663593452,0.07055172790901137,0.07049015229115586,0.029543880255907536,0.025890687864924232,0.08514341115505482,0.06031678314757589,0.1692761336005153,0.16899993085752216,0.18996214916395088,0.18222996864080465,0.07190251120953631,0.07174205693879857,0.019103258701525336,0.017113628752884413
cars,hiresnet50.fb_ssl_yfcc100m_ft_in1k,NaN,0.6269415616989136,6.067669868469238,6.063492774963379,0.44219058752059937,0.4416678249835968,10.180697441101074,10.184053421020508,0.26605647802352905,NaN,0.73358154296875,NaN,0.4948493242263794,NaN,0.7474497556686401,0.9288515448570251,0.6599334478378296,NaN,NaN,NaN,NaN,0.500245988368988,6.348649978637695,6.334020614624023,0.4125714898109436,0.4151758849620819,10.332818984985352,10.327225685119627,0.2188013046979904,NaN,0.5682557225227356,NaN,0.3916679918766022,NaN,0.7358960509300232,0.724141538143158,0.624103844165802,NaN,NaN,NaN,0.033660385890777036,0.03307828367419243,0.2607273398198156,0.255822706497603,0.26164154700085207,0.25813679154988767,0.07663751503718286,0.07417833819955263,0.023644873857732833,0.020781470965298393,0.20908046456985752,0.18282161143534595,0.7298384398965939,0.7516849785195973,0.8715454564747235,0.8682229356899155,0.07533884924540682,0.07115948848910614,0.04267725509804064,0.029800704015152796
cars,hiresnet50.fb_swsl_ig1b_ft_in1k,NaN,0.6284620761871338,7.286757946014404,7.283608913421631,0.4544663727283478,0.4548018872737885,13.456257820129396,13.463714599609377,0.2567419409751892,NaN,0.7171924710273743,NaN,0.5007209181785583,NaN,0.825977087020874,0.8801795840263367,0.6708346605300903,NaN,NaN,NaN,NaN,0.4728931486606598,7.580171585083008,7.562298774719238,0.4096572399139404,0.4123150110244751,13.575425148010254,13.571823120117188,0.23573090136051175,NaN,0.558701753616333,NaN,0.3868861496448517,NaN,0.7422982454299927,0.6328686475753784,0.6434698700904846,NaN,NaN,NaN,0.03670559934791162,0.044240792648084885,0.28012684677765626,0.27292532153694815,0.28687104768049854,0.2820034112040677,0.07239292842300962,0.07148845398734247,0.024229463101841337,0.0211976935406999,0.20442674647456732,0.18084148959311253,0.734011588017845,0.7560197881927821,0.8724675639549292,0.8705645165267516,0.072307489884077,0.07078989064785243,0.037366550122424375,0.027619459444568274
cars,hiresnet50.gluon_in1k,NaN,0.5326598882675171,4.931727409362793,4.927713871002197,0.47601819038391113,0.47749096155166626,6.971018314361572,6.9768829345703125,0.2084629386663437,NaN,0.6131657958030701,NaN,0.4292365610599518,NaN,0.7917284965515137,0.7104540467262268,0.6118240356445312,NaN,NaN,NaN,NaN,0.5654336810112,4.799240589141846,4.787320137023926,0.4502562284469605,0.4532855153083801,6.758771896362305,6.755759239196777,0.2651804983615875,NaN,0.6352455019950867,NaN,0.45091983675956726,NaN,0.7924361824989319,0.7497648596763611,0.6413164734840393,NaN,NaN,NaN,0.03005245163843687,0.030417648395360652,0.3037528633585664,0.294923799834472,0.30199993709228856,0.29529546375914567,0.07734323736876639,0.07483422130073236,0.033709499075656804,0.02891349003073715,0.20763364000966472,0.1826840425688447,0.7393871650383307,0.7604406411640734,0.8767464596455735,0.8747306550862524,0.07499367754811898,0.07189696183916205,0.04730020844795573,0.03353811930569392
