dataset_name,model_name,MSC_train,MSC_test,V_intra_train,V_intra_test,S_inter_train,S_inter_test,clustering_diversity_train,clustering_diversity_test,spectral_diversity_train,spectral_diversity_test,MSC_train_ft,MSC_test_ft,V_intra_train_ft,V_intra_test_ft,S_inter_train_ft,S_inter_test_ft,clustering_diversity_train_ft,clustering_diversity_test_ft,spectral_diversity_train_ft,spectral_diversity_test_ft
cars,hiresnet50.in1k_supcon,0.064162448607208,0.06768551762298154,0.1503917262364579,0.1519819891450568,0.16496127064968047,0.16813126653133534,0.07736716015966755,0.07454443886576764,0.028071539197850413,0.024713612708543976,0.1197580483159299,0.10433141814710632,0.11515329045325222,0.1120543597745736,0.1230468956644395,0.11786873859026128,0.07562165080927384,0.07175110968619608,0.04389511160259172,0.032377661989321786
cars,hiresnet50.in1k_swav,-0.0004256199298499175,0.005314528984490666,0.18768464063994963,0.18260685081318231,0.1783040035373597,0.17432104964818426,0.07538754921259841,0.07384076103905882,0.021650290336665205,0.019983330091077185,0.10906287713209165,0.08797171149738021,0.14148666251022338,0.13980802049579483,0.15068045907614216,0.14655143384090127,0.07307387357830271,0.07191246283122554,0.011650847461749249,0.011658037997900493
cars,hiresnet50.in21k_miil,-0.03870843659912078,-0.05975571050640495,0.041143828564365104,0.03856812053705752,0.03747037740052134,0.035249104747935335,0.07182561652449693,0.07172193505479202,0.0006850964910402072,0.000944781604976881,0.09590351483475466,0.08464098026343864,0.0029389270270269397,0.002776076736300906,0.0031522925571793405,0.002931921994774239,0.07106692229877515,0.07098666713043619,0.022241050186823673,0.01731266403600337
cars,hiresnet50.tv2_in1k,0.05789534180113248,0.06379418271270253,0.07418803260794107,0.07420153324968273,0.08071286124570738,0.08140315568302452,0.07190336559492563,0.07128392700872693,0.03298993338280776,0.028713669095720564,0.0613598266017635,0.0677568750603697,0.05107892164501145,0.05086654060298117,0.05324744499848311,0.05254159569118257,0.07107375738188976,0.0707765425713533,0.03960494339231431,0.030755316868187887
cars,hiresnet50.tv_in1k,0.04579038206422632,0.04688630941326931,0.18365523438131445,0.18172859084128712,0.19007544765670273,0.18885844303486676,0.08460380440726159,0.07993782841939283,0.0314245433729934,0.027560449574911404,0.18566594141120463,0.15648202571768297,0.2408437540312925,0.2321183380419244,0.2747209396755939,0.25666163661242575,0.08640228565179352,0.07433436681682046,0.04898177257438344,0.03100860207563355
cars,hivit_base_patch16_224.dino,0.0009142763608426004,0.005895609776172797,0.4138727334224214,0.4105322876287534,0.4002543489818099,0.39648918947663825,0.1602246008311461,0.1393805937997376,0.05120156634980299,0.041839138974273014,0.4396301115979282,0.3978889183185095,0.4969145424550276,0.5129131919792084,0.844046145733852,0.8305269895354593,0.2168891486220472,0.12290830425252004,0.06261375968850504,0.034762577405051585
cars,hivit_base_patch16_224.in1k_mocov3,0.0084962210446098,0.011478763217706044,0.38360976758637766,0.3794096262777422,0.36713028413691495,0.36313704604691505,0.11495926290463691,0.10484429946606016,0.03863771967687632,0.034276008803062336,0.16078888758162138,0.14196986084905572,0.568405764156213,0.5786246593200842,0.6643357852354623,0.6594896786448537,0.16739802055993,0.12251932316983556,0.06189632587858387,0.03888721310745472
cars,hivit_base_patch16_224.mae,-0.035860811435959754,-0.040210608389939416,0.07069482064008159,0.06902342073575003,0.06504090320233441,0.0636828005329831,0.07185381124234469,0.07135474917910556,0.016279255937090696,0.01788903914746784,0.25531613937641645,0.2217130141664492,0.47946443852531545,0.49177855039005286,0.62160095043718,0.6085291478107586,0.1532482593321668,0.10693294262431711,0.053874954855035295,0.03307117419268088
cars,hivit_base_patch16_224.orig_in21k,0.07799287236563311,0.08400191643646936,0.3819648908259081,0.37774208503674395,0.4277468269517243,0.42819106983619754,0.17183740704286965,0.15332395320274295,0.0552491556237063,0.04862773907247675,0.2407161386781481,0.21469780114399745,0.5844716374620544,0.5965570761575562,0.7151559800434606,0.7038129828608309,0.2741380960192476,0.19724697339979355,0.09066004609185568,0.05249713164157969
cars,hivit_base_patch16_224_miil.in21k,-0.034531498780003056,-0.0208455871483278,0.16928013533134373,0.16992678852794557,0.15480829638631338,0.15587109325773732,0.08348142680081659,0.08049613368570856,0.027759513438843055,0.024300476979641685,0.2397567614325382,0.21325314913308543,0.5549079778980691,0.5643273619882913,0.6731764611912117,0.6607630457716633,0.2663324311023622,0.18890749568044615,0.08232423655317211,0.04319597623020254
