host,serial,dataset_name,model_name,freeze_backbone,classifier,adapter,prompt,opt,weight_decay,lr,base_lr,seed,epochs,image_size,batch_size,num_images_train,num_images_val,n_cluster_ratio,extractor_layer,model_name_extractor,img_per_class,val_acc_level1,val_acc_level2,val_acc_level3,val_loss,ap_w,train_acc_level1,train_acc_level2,train_acc_level3,train_loss,time_total,max_memory,flops,no_params,no_params_trainable,throughput
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,adamw,0.05,0.0005,,0,200,448,8,300,3333,,,,3.0,17.6418,,,6.3098,17.64176417641764,100.0,,,0.0001,31.9384,0.4121,78.5244,86.7906,86.7906,
gpu,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,adamw,0.05,0.0005,,0,200,448,8,500,3333,,,,5.0,24.0324,,,6.2333,24.032403240324033,100.0,,,0.0,47.1321,0.4121,67.1662,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,adamw,0.05,0.001,,0,200,448,8,100,3333,,,,,5.5506,,,8.1984,5.5505550555055505,100.0,,,0.0002,19.4565,0.4121,78.5244,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,adamw,0.05,0.001,,0,200,448,8,300,3333,,,,3.0,5.2505,,,10.6931,5.2505250525052505,100.0,,,0.0113,31.7507,0.4121,78.5244,86.7906,86.7906,
gpu,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,adamw,0.05,0.001,,0,200,448,8,500,3333,,,,5.0,6.3306,,,9.4775,6.330633063306331,99.1935,,,0.0248,47.0655,0.4121,67.1662,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,sgd,0.0,0.003,,0,200,448,8,100,3333,,,,,10.471,,,4.1771,10.471047104710472,100.0,,,0.0228,19.2271,0.4121,78.5244,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,sgd,0.0,0.003,,0,200,448,8,300,3333,,,,3.0,27.6328,,,3.0713,27.632763276327633,100.0,,,0.0052,31.2639,0.4121,78.5244,86.7906,86.7906,
gpu,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,sgd,0.0,0.003,,0,200,448,8,500,3333,,,,5.0,40.354,,,2.3636,40.35403540354035,100.0,,,0.0029,45.8734,0.4121,67.1662,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,sgd,0.0,0.01,,0,200,448,8,100,3333,,,,,11.2511,,,4.2429,11.251125112511252,100.0,,,0.0029,19.1476,0.4121,78.5244,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,sgd,0.0,0.01,,0,200,448,8,300,3333,,,,3.0,30.063,,,2.9833,30.063006300630065,100.0,,,0.0009,31.3716,0.4121,78.5244,86.7906,86.7906,
gpu,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,sgd,0.0,0.01,,0,200,448,8,500,3333,,,,5.0,44.5845,,,2.2496,44.58445844584458,100.0,,,0.0006,45.7954,0.4121,67.1662,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,sgd,0.0,0.03,,0,200,448,8,100,3333,,,,,12.2712,,,4.3021,12.271227122712272,100.0,,,0.0008,19.2146,0.4121,78.5244,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,sgd,0.0,0.03,,0,200,448,8,300,3333,,,,3.0,32.5233,,,2.9666,32.52325232523253,100.0,,,0.0002,31.1321,0.4121,78.5244,86.7906,86.7906,
gpu,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,sgd,0.0,0.03,,0,200,448,8,500,3333,,,,5.0,47.4347,,,2.209,47.434743474347435,100.0,,,0.0001,45.7586,0.4121,67.1662,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,sgd,0.0,0.1,,0,200,448,8,100,3333,,,,,12.9313,,,4.4187,12.931293129312932,100.0,,,0.0002,19.2294,0.4121,78.5244,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,sgd,0.0,0.1,,0,200,448,8,300,3333,,,,3.0,29.3129,,,4.37,29.312931293129314,100.0,,,0.0,31.1883,0.4121,78.5244,86.7906,86.7906,
gpu,102,aircraft_baseline,hideit3_base_patch16_224.fb_in22k_ft_in1k,False,,,,sgd,0.0,0.1,,0,200,448,8,500,3333,,,,5.0,37.4437,,,4.3499,37.44374437443744,100.0,,,0.0,45.6301,0.4121,67.1662,86.7906,86.7906,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,100,3333,,,,,8.3708,,,4.339,8.370837083708372,100.0,,,0.0171,19.3015,0.4121,78.51,86.7729,86.7729,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,300,3333,,,,3.0,20.5221,,,3.6565,20.52205220522052,100.0,,,0.0044,31.2326,0.4121,78.51,86.7729,86.7729,
gpu,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,5e-06,,0,200,448,8,500,3333,,,,5.0,31.2631,,,3.0374,31.263126312631265,100.0,,,0.0012,45.8439,0.4121,67.1517,86.7729,86.7729,
camel.ee.nctu.edu.tw,102,aircraft_baseline,hideit_base_patch16_224.fb_in1k,False,,,,adamw,0.05,1e-05,,0,200,448,8,100,3333,,,,,8.7009,,,4.3347,8.7008700870087,100.0,,,0.0115,19.3526,0.4121,78.51,86.7729,86.7729,
