serial,setting,dataset_name,method,acc,acc_std,acc_max,acc_min,ada_ratio,acc_mean_std_latex,acc_mean_std
23,ft_448,cub,hiresnet50.a1_in1k,85.13,2.34,87.63963820245425,79.86706951964321,2.7435830559450447,85.13\pm{2.34},85.13+-2.34
23,ft_448,cub,hiresnet50.in21k_miil,87.01,2.26,89.09994311745517,82.33440454023184,2.6016531067884485,87.01\pm{2.26},87.01+-2.26
23,ft_448,cub,hiresnet50.fb_swsl_ig1b_ft_in1k,83.92,4.65,87.90327127802219,72.4132121840563,5.543106940227396,83.92\pm{4.65},83.92+-4.65
23,ft_448,cub,hiresnet50.fb_ssl_yfcc100m_ft_in1k,84.26,4.86,88.02422343762677,71.36266807124281,5.773466162647394,84.26\pm{4.86},84.26+-4.86
23,ft_448,cub,hiresnet50.in1k_mocov3,86.27,1.44,87.63372468015407,83.06917308329677,1.6710914565646648,86.27\pm{1.44},86.27+-1.44
23,ft_448,cub,hiresnet50.in1k_supcon,83.77,4.19,87.52638737421731,73.81849887299268,4.996878549662532,83.77\pm{4.19},83.77+-4.19
23,ft_448,cub,hiresnet50.in1k_swav,87.21,1.39,88.64122385157333,84.03747797900563,1.589394018251828,87.21\pm{1.39},87.21+-1.39
23,ft_448,cub,hiresnet50.in1k_spark,74.0,6.37,79.9386122279645,60.066184704591606,8.612532180891645,74.0\pm{6.37},74.0+-6.37
23,ft_448,all,hivit_base_patch16_224.orig_in21k,85.2,9.9,92.57763560875586,46.417024343083305,11.625055555967073,85.2\pm{9.9},85.2+-9.9
23,ft_448,all,hideit_base_patch16_224.fb_in1k,85.8,11.18,93.5240429384769,46.90227698113312,13.032405023848034,85.8\pm{11.18},85.8+-11.18
23,ft_448,all,hivit_base_patch16_224_miil.in21k,82.44,14.68,92.25622562256224,35.34525799181633,17.808203253712648,82.44\pm{14.68},82.44+-14.68
23,ft_448,all,hideit3_base_patch16_224.fb_in1k,86.01,11.45,93.59135913591358,41.032695241764,13.310211024949648,86.01\pm{11.45},86.01+-11.45
23,ft_448,all,hideit3_base_patch16_224.fb_in22k_ft_in1k,85.48,14.65,94.1029102910291,36.81607707932509,17.141724249952837,85.48\pm{14.65},85.48+-14.65
23,ft_448,all,hivit_base_patch16_224.in1k_mocov3,82.35,15.75,92.99092152717324,35.656771242504114,19.125824543822624,82.35\pm{15.75},82.35+-15.75
23,ft_448,all,hivit_base_patch16_224.dino,69.3,27.26,90.08320164037356,4.312532417700747,39.3302174932406,69.3\pm{27.26},69.3+-27.26
23,ft_448,all,hivit_base_patch16_clip_224.laion2b,62.19,29.4,90.99845001683444,5.837400396140511,47.27004008579384,62.19\pm{29.4},62.19+-29.4
23,ft_448,all,hivit_base_patch16_siglip_224.v2_webli,78.56,22.55,95.57511655206092,10.973880812057716,28.699333202665695,78.56\pm{22.55},78.56+-22.55
23,ft_448,all,hivit_base_patch16_224.mae,76.59,19.97,93.21410697007106,29.156972952642096,26.068267290286045,76.59\pm{19.97},76.59+-19.97
23,ft_448,all,hiresnet50.tv_in1k,90.42,4.05,94.46677242546583,79.17064912596764,4.481976561808627,90.42\pm{4.05},90.42+-4.05
23,ft_448,all,hiresnet50.tv2_in1k,90.89,3.46,94.1029102910291,83.12397630740413,3.810784782031878,90.89\pm{3.46},90.89+-3.46
23,ft_448,all,hiresnet50.gluon_in1k,89.84,4.43,94.43328550932569,77.13949173963448,4.927408829490288,89.84\pm{4.43},89.84+-4.43
23,ft_448,all,hiresnet50.a1_in1k,89.53,3.68,93.6018601860186,79.86706951964321,4.106441568899297,89.53\pm{3.68},89.53+-3.68
23,ft_448,all,hiresnet50.in21k_miil,90.79,3.06,93.90246716979392,82.33440454023184,3.3739572992225066,90.79\pm{3.06},90.79+-3.06
23,ft_448,all,hiresnet50.fb_swsl_ig1b_ft_in1k,89.31,5.37,94.52403990524174,72.4132121840563,6.007407179046003,89.31\pm{5.37},89.31+-5.37
23,ft_448,all,hiresnet50.fb_ssl_yfcc100m_ft_in1k,89.73,4.99,94.5668085209642,71.36266807124281,5.56416562934259,89.73\pm{4.99},89.73+-4.99
23,ft_448,all,hiresnet50.in1k_mocov3,90.94,3.49,94.4959495949595,83.06917308329677,3.8381772711823614,90.94\pm{3.49},90.94+-3.49
23,ft_448,all,hiresnet50.in1k_supcon,89.74,5.13,94.8117119275906,73.81849887299268,5.713220061965737,89.74\pm{5.13},89.74+-5.13
23,ft_448,all,hiresnet50.in1k_swav,91.12,2.99,94.23042304230422,84.03747797900563,3.2808810633229664,91.12\pm{2.99},91.12+-2.99
23,ft_448,all,hiresnet50.in1k_spark,83.96,8.48,92.81159666465462,60.066184704591606,10.095023528339624,83.96\pm{8.48},83.96+-8.48
