serial,dataset_name,setting,method,ada_ratio,mean,std
23,all_mean,,hiresnet50.fb_ssl_yfcc100m_ft_in1k,3.5340281539197895,88.38418333333334,3.0265730026158306
23,all_mean,,hiresnet50.fb_swsl_ig1b_ft_in1k,4.278389713319911,87.97623,3.698456869211897
23,all_mean,,hiresnet50.gluon_in1k,2.6091462307175366,88.46983,2.269703791982931
23,all_mean,,hiresnet50.in1k_mocov3,1.184327441600715,89.60201,1.040311626782315
23,all_mean,,hiresnet50.in1k_spark,18.253657453223546,73.99680333333333,11.92568430840464
23,all_mean,,hiresnet50.in1k_supcon,3.2385028800881854,88.42019333333333,2.7808049687278125
23,all_mean,,hiresnet50.in1k_swav,1.3259971718532986,89.81305333333334,1.1779027925206556
23,all_mean,,hiresnet50.in21k_miil,31.506112870803843,67.70397333333334,17.517307919372556
23,all_mean,,hiresnet50.tv2_in1k,1.3868435552594605,89.58267666666667,1.2152543068961903
23,all_mean,,hiresnet50.tv_in1k,2.43863236089768,89.13980666666667,2.1398049623324495
23,all_mean,,hivit_base_patch16_224.dino,42.36258584036358,67.06761250000001,27.90653820080919
23,all_mean,,hivit_base_patch16_224.in1k_mocov3,20.12621980678529,80.57244666666666,16.189304075765104
23,all_mean,,hivit_base_patch16_224.mae,28.198115611376767,74.91834648148148,21.018259890649613
23,all_mean,,hivit_base_patch16_224.orig_in21k,11.352347893562525,83.50259407407407,9.349969400468268
23,all_mean,,hivit_base_patch16_224_miil.in21k,17.42675196552747,80.77619333333332,13.887820963725531
23,all_mean,,hivit_base_patch16_clip_224.laion2b,52.52376923348961,59.84588009259259,31.127575557629566
23,all_mean,,hivit_base_patch16_siglip_224.v2_webli,31.33876497724061,76.74860119047618,24.088749765851983
23,all_std,,hideit3_base_patch16_224.fb_in1k,6.092879527043353,2.7106871723717827,5.160346303446513
23,all_std,,hideit3_base_patch16_224.fb_in22k_ft_in1k,5.969350126985606,3.0565577966798574,4.580170995427928
23,all_std,,hideit_base_patch16_224.fb_in1k,6.969413877808279,4.51324001858619,5.520928327538511
23,all_std,,hiresnet50.a1_in1k,0.7324117541401345,4.742638421905395,0.565460068557022
23,all_std,,hiresnet50.fb_ssl_yfcc100m_ft_in1k,2.6138307120175965,5.75113769913687,2.0314780843376994
23,all_std,,hiresnet50.fb_swsl_ig1b_ft_in1k,2.2978113628914887,5.707969105040775,1.8540985284654905
23,all_std,,hiresnet50.gluon_in1k,1.1926985122197833,5.662640384228901,0.9080226536201941
23,all_std,,hiresnet50.in1k_mocov3,0.6837192929365015,5.032997791386362,0.5534392751443578
23,all_std,,hiresnet50.in1k_spark,21.096224994160757,12.774518907122621,12.742738734581195
23,all_std,,hiresnet50.in1k_supcon,2.1150382870565387,6.284874284918776,1.6198418827717083
23,all_std,,hiresnet50.in1k_swav,0.5578600710441121,4.232920844539058,0.45800610858645885
23,all_std,,hiresnet50.in21k_miil,26.672140477337692,21.71259019927454,14.29722721713115
23,all_std,,hiresnet50.tv2_in1k,0.8410782739641862,4.865881656815478,0.6674463919129492
23,all_std,,hiresnet50.tv_in1k,1.1671475366344817,5.184563927798888,0.9170908102312346
23,all_std,,hivit_base_patch16_224.dino,14.645326291744766,5.204149850600003,7.5988555872793695
23,all_std,,hivit_base_patch16_224.in1k_mocov3,6.338573961488359,1.941184890532923,5.021186199689901
23,all_std,,hivit_base_patch16_224.mae,2.977741505725912,6.719356919995184,1.232211355946786
23,all_std,,hivit_base_patch16_224.orig_in21k,7.681719789976704,2.8232775571090722,6.005545854457224
23,all_std,,hivit_base_patch16_224_miil.in21k,9.734897340928097,2.943757435733,7.361102101056278
23,all_std,,hivit_base_patch16_clip_224.laion2b,9.052028142974212,6.629355614451191,3.7725755420124987
23,all_std,,hivit_base_patch16_siglip_224.v2_webli,4.7863447859314565,2.2124846986819118,4.12583886600787
