serial,dataset_name,setting,model_name,ada_ratio,mean,std
24,cub,,hiresnet50.in1k_swav,9.371895355842032,29.30964,2.7468687899740187
24,cub,,hiresnet50.in21k_miil,5.658325978659079,59.389030000000005,3.360424912963634
24,cub,,hiresnet50.tv2_in1k,8.83862274622226,33.132549999999995,2.9284611007034633
24,cub,,hiresnet50.tv_in1k,9.066336696151286,44.04728,3.993474710296506
24,cub,,hivit_base_patch16_224.dino,3.212710258631572,73.20677,2.3519214098028205
24,cub,,hivit_base_patch16_224.in1k_mocov3,6.53647802121092,61.16499,3.998036128025858
24,cub,,hivit_base_patch16_224.mae,28.58877327114347,16.201259999999998,4.631741488468458
24,cub,,hivit_base_patch16_224.orig_in21k,0.9656107363461227,82.28513000000001,0.7945540496963645
24,cub,,hivit_base_patch16_224_miil.in21k,7.1478329305401145,33.47428,2.3926856091012034
24,cub,,hivit_base_patch16_clip_224.laion2b,1.352860355115351,76.31342,1.0324140048126693
24,cub,,hivit_base_patch16_siglip_224.v2_webli,6.710072256819073,37.174670000000006,2.4944472182340434
24,aircraft,,all_mean,9.063198655030256,41.32113380952381,3.435516253436589
24,cars,,all_mean,9.290498875044092,44.883605238095235,3.6227802640853533
24,cub,,all_mean,7.6861125022263295,48.75774857142857,2.839821000737546
24,aircraft,,all_std,4.859117006924853,10.029247543895542,1.0311383569237709
24,cars,,all_std,4.781577732493107,16.741496735198922,1.1650118636974378
24,cub,,all_std,5.8266091980371915,20.987937771168774,1.059371852369051
24,all_mean,,hideit3_base_patch16_224.fb_in1k,7.544112237758717,56.88758333333334,4.02728355550117
24,all_mean,,hideit3_base_patch16_224.fb_in22k_ft_in1k,6.327614836382824,63.58047,3.6475489439657878
24,all_mean,,hideit_base_patch16_224.fb_in1k,6.2138760240097035,53.802420000000005,3.1121470803315816
24,all_mean,,hiresnet50.a1_in1k,12.118043157873126,32.22978,3.8653814807568545
24,all_mean,,hiresnet50.fb_ssl_yfcc100m_ft_in1k,7.278722888990867,50.70903666666666,3.6865338394679164
24,all_mean,,hiresnet50.fb_swsl_ig1b_ft_in1k,7.395944486699846,52.43402,3.8923439675411537
24,all_mean,,hiresnet50.gluon_in1k,8.044562867005686,40.86374,3.2866745627101133
24,all_mean,,hiresnet50.in1k_mocov3,6.943517930701513,44.23205333333333,3.0218464925051287
24,all_mean,,hiresnet50.in1k_spark,14.028915176808733,17.44192333333333,2.5281605193396524
24,all_mean,,hiresnet50.in1k_supcon,7.625532344978322,43.56023,3.299904502790001
24,all_mean,,hiresnet50.in1k_swav,8.942759186212463,36.6022,3.2729650159301102
24,all_mean,,hiresnet50.in21k_miil,7.268097002862059,50.11656333333334,3.5641617774967114
24,all_mean,,hiresnet50.tv2_in1k,7.876107393699928,35.40965,2.780888265214474
24,all_mean,,hiresnet50.tv_in1k,8.366582939432297,44.76441333333333,3.747624306118086
24,all_mean,,hivit_base_patch16_224.dino,5.544602658029583,63.40141,3.418656590108918
24,all_mean,,hivit_base_patch16_224.in1k_mocov3,9.362734037229675,52.798136666666664,4.817346525355732
24,all_mean,,hivit_base_patch16_224.mae,27.349775959374536,18.825129999999998,5.138748286932227
24,all_mean,,hivit_base_patch16_224.orig_in21k,4.936279098386335,53.40864333333334,2.0630301888202554
24,all_mean,,hivit_base_patch16_224_miil.in21k,9.885992551535866,25.397896666666668,2.4142009869581678
24,all_mean,,hivit_base_patch16_clip_224.laion2b,2.102657701935898,75.64596333333333,1.386731823669659
24,all_mean,,hivit_base_patch16_siglip_224.v2_webli,7.122239746196752,32.62615,2.314643916302716
24,all_std,,hideit3_base_patch16_224.fb_in1k,3.5382408815787403,11.274972859019813,1.3068477664876132
24,all_std,,hideit3_base_patch16_224.fb_in22k_ft_in1k,3.7521825920318834,15.031496584315883,1.7242251750037225
24,all_std,,hideit_base_patch16_224.fb_in1k,3.024833609737694,11.502171623163164,0.9851553733734106
24,all_std,,hiresnet50.a1_in1k,1.5661088225301116,4.091874861001984,0.17040512968160512
24,all_std,,hiresnet50.fb_ssl_yfcc100m_ft_in1k,0.8916648909121564,3.212228135832403,0.44261033397613975
24,all_std,,hiresnet50.fb_swsl_ig1b_ft_in1k,1.219223498613669,3.7372646089352557,0.7872366600027698
24,all_std,,hiresnet50.gluon_in1k,0.41462517478788424,1.3338863098855165,0.18209011604843864
24,all_std,,hiresnet50.in1k_mocov3,1.8988893436529903,7.078036137159328,0.6921482179430133
24,all_std,,hiresnet50.in1k_spark,2.419051349497494,5.126749533089492,1.0658656466618792
24,all_std,,hiresnet50.in1k_supcon,1.0768475670226294,7.076592704310461,0.5440599908501407
24,all_std,,hiresnet50.in1k_swav,1.200757300614678,6.630310802496366,0.7821494389549437
24,all_std,,hiresnet50.in21k_miil,2.054709124410514,8.038723682042654,0.6798849007348321
24,all_std,,hiresnet50.tv2_in1k,1.1060447643351439,2.063517027891947,0.3358965308275467
24,all_std,,hiresnet50.tv_in1k,0.8775825506642422,1.310145049768668,0.434621786487267
24,all_std,,hivit_base_patch16_224.dino,2.230441163682264,8.9389580496163,1.1844574552987746
24,all_std,,hivit_base_patch16_224.in1k_mocov3,2.4843563472588404,7.745644061053501,0.7149783017050394
24,all_std,,hivit_base_patch16_224.mae,1.1157667900397048,3.8632227010230737,0.998456688675073
24,all_std,,hivit_base_patch16_224.orig_in21k,3.471642023461142,25.007782066941356,1.1138866654257464
24,all_std,,hivit_base_patch16_224_miil.in21k,2.3969872732088895,9.199678779839724,0.7475717512347548
24,all_std,,hivit_base_patch16_clip_224.laion2b,2.0864649646470244,15.242199428777768,1.157382506779588
24,all_std,,hivit_base_patch16_siglip_224.v2_webli,0.37581222688609905,3.9583133401614408,0.16843220141388376
