serial,setting,dataset_name,method,n_cluster_ratio,extractor_layer,model_name_extractor,acc_mean,acc_std,acc_max,lr_acc_max,acc_min,ada_ratio,cva,acc_mean_std_latex,acc_mean_std
40,,all,hiresnet50.in1k_mocov3,70,-1,hiresnet50.in1k_mocov3,92.1118,1.1579,93.65750528541226,0.0001,89.04890489048906,1.2570334495362117,-3.4610574094447832,92.1118\pm{1.1579},92.1118+-1.1579
40,,all,hiresnet50.in1k_spark,25,-1,hiresnet50.in1k_spark,82.4635,8.737,92.12784479542346,5e-05,60.010355540214015,10.59500658211074,-26.10508902211186,82.4635\pm{8.737},82.4635+-8.737
40,,all,hiresnet50.in1k_spark,50,-1,hiresnet50.in1k_spark,82.0733,9.4498,91.90399204079095,0.01,59.302726958923024,11.513883956092407,-28.234318433511675,82.0733\pm{9.4498},82.0733+-9.4498
40,,all,hiresnet50.in1k_spark,70,-1,hiresnet50.in1k_spark,82.3036,8.9798,92.52580524810348,5e-05,58.64687607870211,10.91061892869768,-26.83039659841833,82.3036\pm{8.9798},82.3036+-8.9798
40,,all,hivit_base_patch16_224.orig_in21k,25,-1,hivit_base_patch16_224.orig_in21k,83.1478,10.6013,91.65526675786592,0.03,47.06593027269589,12.749959317107654,-31.676421690952512,83.1478\pm{10.6013},83.1478+-10.6013
40,,all,hivit_base_patch16_224.orig_in21k,50,-1,hivit_base_patch16_224.orig_in21k,80.6933,16.8166,91.59308543713468,0.03,12.883969655515482,20.840140102298115,-50.24139503046524,80.6933\pm{16.8166},80.6933+-16.8166
40,,all,hivit_base_patch16_224.orig_in21k,70,-1,hivit_base_patch16_224.orig_in21k,81.854,12.5272,91.85424698420594,0.03,39.18391839183919,15.304328310496556,-37.42859314880953,81.854\pm{12.5272},81.854+-12.5272
40,,all,hideit_base_patch16_224.fb_in1k,25,-1,hideit_base_patch16_224.fb_in1k,83.4321,13.874,92.93620196492974,0.03,24.387297204004145,16.629071533586202,-41.455678262179816,83.4321\pm{13.874},83.4321+-13.874
40,,all,hideit_base_patch16_224.fb_in1k,50,-1,hideit_base_patch16_224.fb_in1k,82.1432,17.945,92.91132943663725,0.03,13.717199353314264,21.846037841857317,-53.616617112743256,82.1432\pm{17.945},82.1432+-17.945
40,,all,hideit_base_patch16_224.fb_in1k,70,-1,hideit_base_patch16_224.fb_in1k,82.7619,15.5685,92.998383285661,0.01,21.80077104837707,18.811205151870954,-46.51744689333331,82.7619\pm{15.5685},82.7619+-15.5685
40,,all,hivit_base_patch16_224_miil.in21k,25,-1,hivit_base_patch16_224_miil.in21k,79.3702,18.322,91.9164283049372,0.01,4.576545205820172,23.084257372137117,-54.7352126784076,79.3702\pm{18.322},79.3702+-18.322
40,,all,hivit_base_patch16_224_miil.in21k,50,-1,hivit_base_patch16_224_miil.in21k,81.5075,14.4292,92.51336898395722,0.03,19.711971197119716,17.702937543691455,-43.11061318906433,81.5075\pm{14.4292},81.5075+-14.4292
40,,all,hivit_base_patch16_224_miil.in21k,70,-1,hivit_base_patch16_224_miil.in21k,77.1578,22.0581,92.07809973883845,0.03,4.588981469966422,28.588323292934536,-65.88851087653008,77.1578\pm{22.0581},77.1578+-22.0581
40,,all,hideit3_base_patch16_224.fb_in1k,25,-1,hideit3_base_patch16_224.fb_in1k,76.2239,28.4064,93.11030966297724,0.03,4.054222111677652,37.26708221663383,-84.8465459100311,76.2239\pm{28.4064},76.2239+-28.4064
40,,all,hideit3_base_patch16_224.fb_in1k,50,-1,hideit3_base_patch16_224.fb_in1k,84.6745,17.7025,93.446088794926,0.01,16.689466484268127,20.90652805676027,-52.89841060262378,84.6745\pm{17.7025},84.6745+-17.7025
40,,all,hideit3_base_patch16_224.fb_in1k,70,-1,hideit3_base_patch16_224.fb_in1k,78.1582,28.3032,93.20979977614724,0.03,3.9920407909464,36.212718624860756,-84.54752057404266,78.1582\pm{28.3032},78.1582+-28.3032
40,,all,hideit3_base_patch16_224.fb_in22k_ft_in1k,25,-1,hideit3_base_patch16_224.fb_in22k_ft_in1k,75.3378,29.1856,93.6201964929735,0.03,3.0220121875388632,38.73965654162453,-87.16945819516539,75.3378\pm{29.1856},75.3378+-29.1856
40,,all,hideit3_base_patch16_224.fb_in22k_ft_in1k,50,-1,hideit3_base_patch16_224.fb_in22k_ft_in1k,76.8227,28.3856,93.27198109687848,0.03,4.203457281432658,36.94948926329316,-84.78734465916571,76.8227\pm{28.3856},76.8227+-28.3856
40,,all,hideit3_base_patch16_224.fb_in22k_ft_in1k,70,-1,hideit3_base_patch16_224.fb_in22k_ft_in1k,76.3616,28.5655,93.346598681756,0.03,4.613853998258923,37.40820021261003,-85.32240611519539,76.3616\pm{28.5655},76.3616+-28.5655
40,,all,hivit_base_patch16_224.in1k_mocov3,25,-1,hivit_base_patch16_224.in1k_mocov3,77.8006,22.0298,92.55067777639596,0.01,8.25767939311031,28.31573257674018,-65.8062691763544,77.8006\pm{22.0298},77.8006+-22.0298
40,,all,hivit_base_patch16_224.in1k_mocov3,50,-1,hivit_base_patch16_224.in1k_mocov3,81.0914,15.8884,92.4636239273722,0.01,30.273027302730277,19.5931852879361,-47.4692221567833,81.0914\pm{15.8884},81.0914+-15.8884
