serial,setting,dataset_name,method,seed,n_cluster_ratio,extractor_layer,model_name_extractor,acc_mean,acc_std,acc_max,lr_acc_max,acc_min,ada_ratio,cva,acc_mean_std_latex,acc_mean_std
54,,soylocal,hiresnet50.tv_in1k,0,50.0,-1.0,hiresnet50.tv_in1k,49.2,4.7289,53.66666666666666,0.03,40.333333333333336,9.61168588737377,-14.09073151088995,49.2\pm{4.7289},49.2+-4.7289
54,,soylocal,hiresnet50.tv_in1k,0,70.0,-1.0,hiresnet50.tv_in1k,50.4167,5.7275,54.5,5e-06,35.833333333333336,11.360288345595341,-17.068833239257003,50.4167\pm{5.7275},50.4167+-5.7275
54,,soylocal,hiresnet50.tv_in1k,0,90.0,-1.0,hiresnet50.tv_in1k,50.5333,5.5209,56.16666666666666,0.0001,36.333333333333336,10.925247741153887,-16.45342309817775,50.5333\pm{5.5209},50.5333+-5.5209
54,,soylocal,hiresnet50.tv2_in1k,0,10.0,-1.0,hiresnet50.tv2_in1k,51.6667,3.5729,56.0,5e-05,45.66666666666666,6.915240942285397,-10.64947105111951,51.6667\pm{3.5729},51.6667+-3.5729
54,,soylocal,hiresnet50.tv2_in1k,0,20.0,-1.0,hiresnet50.tv2_in1k,53.5833,2.7456,57.5,0.01,49.16666666666666,5.124070002343836,-8.185701828744277,53.5833\pm{2.7456},53.5833+-2.7456
54,,soylocal,hiresnet50.tv2_in1k,0,30.0,-1.0,hiresnet50.tv2_in1k,52.9,2.3975,56.333333333333336,0.03,49.333333333333336,4.532192046800645,-7.147266857804618,52.9\pm{2.3975},52.9+-2.3975
54,,soylocal,hiresnet50.tv2_in1k,0,40.0,-1.0,hiresnet50.tv2_in1k,53.7833,2.8088,57.5,0.01,49.0,5.222382771831455,-8.374090774631739,53.7833\pm{2.8088},53.7833+-2.8088
54,,soylocal,hiresnet50.tv2_in1k,0,50.0,-1.0,hiresnet50.tv2_in1k,52.8333,3.3343,58.333333333333336,0.03,48.16666666666666,6.3109005628280395,-9.939668386454162,52.8333\pm{3.3343},52.8333+-3.3343
54,,soylocal,hiresnet50.tv2_in1k,0,70.0,-1.0,hiresnet50.tv2_in1k,54.8833,2.2306,57.333333333333336,5e-05,51.66666666666666,4.06427423010021,-6.651184777558995,54.8833\pm{2.2306},54.8833+-2.2306
54,,soylocal,hiresnet50.tv2_in1k,0,90.0,-1.0,hiresnet50.tv2_in1k,53.6167,1.7124,55.66666666666666,0.03,50.833333333333336,3.1938340261494758,-5.105343690799937,53.6167\pm{1.7124},53.6167+-1.7124
54,,soylocal,hiresnet50.gluon_in1k,0,10.0,-1.0,hiresnet50.gluon_in1k,49.2167,2.8208,53.16666666666666,0.0005,44.833333333333336,5.7314588379496545,-8.405184385853167,49.2167\pm{2.8208},49.2167+-2.8208
54,,soylocal,hiresnet50.gluon_in1k,0,20.0,-1.0,hiresnet50.gluon_in1k,50.0667,3.3822,54.0,0.03,42.833333333333336,6.755460524779011,-10.079147102970284,50.0667\pm{3.3822},50.0667+-3.3822
54,,soylocal,hiresnet50.gluon_in1k,0,30.0,-1.0,hiresnet50.gluon_in1k,48.7167,2.1199,52.5,0.03,45.5,4.351565559382515,-6.316297409443721,48.7167\pm{2.1199},48.7167+-2.1199
54,,soylocal,hiresnet50.gluon_in1k,0,40.0,-1.0,hiresnet50.gluon_in1k,49.3833,3.6244,54.333333333333336,0.03,44.5,7.339272374943497,-10.799739299729353,49.3833\pm{3.6244},49.3833+-3.6244
54,,soylocal,hiresnet50.gluon_in1k,0,50.0,-1.0,hiresnet50.gluon_in1k,51.25,3.1606,55.66666666666666,0.0005,47.16666666666666,6.166964250355126,-9.420037892417456,51.25\pm{3.1606},51.25+-3.1606
54,,soylocal,hiresnet50.gluon_in1k,0,70.0,-1.0,hiresnet50.gluon_in1k,49.65,2.6845,53.16666666666666,0.0005,44.66666666666666,5.406825889388006,-7.999398903349556,49.65\pm{2.6845},49.65+-2.6845
54,,soylocal,hiresnet50.gluon_in1k,0,90.0,-1.0,hiresnet50.gluon_in1k,50.3,3.6088,57.333333333333336,0.0005,46.0,7.174558013842317,-10.754662462749632,50.3\pm{3.6088},50.3+-3.6088
