serial,setting,dataset_name,method,acc_in1k,acc_mean,acc_std,acc_max,acc_min,acc_mean_logit,acc_std_logit,acc_max_logit,acc_min_logit,MSC_train,MSC_test,V_intra_train,V_intra_test,S_inter_train,S_inter_test,clustering_diversity_train,clustering_diversity_test,spectral_diversity_train,spectral_diversity_test,MSC_train_ft,MSC_test_ft,V_intra_train_ft,V_intra_test_ft,S_inter_train_ft,S_inter_test_ft,clustering_diversity_train_ft,clustering_diversity_test_ft,spectral_diversity_train_ft,spectral_diversity_test_ft,ada_ratio,MSC_train_matched,MSC_test_matched,V_intra_train_matched,V_intra_test_matched,S_inter_train_matched,S_inter_test_matched,clustering_diversity_train_matched,clustering_diversity_test_matched,spectral_diversity_train_matched,spectral_diversity_test_matched
23,ft_448,aircraft,hiresnet50.in1k_spark,80.6,88.90904475062891,2.06741297637511,92.05670567056706,85.17401740174017,2.08148394431684,-3.85798129865684,2.450076660996101,1.7483152047494743,-0.030379560384601,-0.0411482119486962,0.0412033037902584,0.0400857720303661,0.0446533075593326,0.0444608502486075,0.0703625801282051,0.0736553328092243,0.007245358867714,0.006880475946192401,0.1812726507896548,0.1556226005025493,0.0064919023984296,0.006397945619372,0.0092535622390926,0.0088924907464376,0.070335453392094,0.0736184813941299,0.0195029049467008,0.0131748412858765,2.325312325842401,0.1812726507896548,0.1556226005025493,0.0064919023984296,0.006397945619372,0.0092535622390926,0.0088924907464376,0.070335453392094,0.0736184813941299,0.0195029049467008,0.0131748412858765
23,ft_448,aircraft,hivit_base_patch16_224.orig_in21k,81.79,86.57565756575657,4.724455848127626,91.1131113111311,76.68466846684669,1.8639490270845225,-3.004020768228772,2.3275247065819102,1.1905906488862068,-0.0015720425653869999,0.007182414340931501,0.268563470302518,0.2656871700090706,0.3479610157586014,0.345562029230496,0.160320401531339,0.146486285814116,0.0459414483167422,0.0380867541586078,0.46319951255117264,0.387561114898445,0.3201796503150065,0.3480416109973707,0.7329639998056982,0.7213339761579808,0.1878936854522791,0.1376217461565339,0.072263604030013,0.0474533314974802,5.457025659365362,0.46319951255117264,0.387561114898445,0.3201796503150065,0.3480416109973707,0.7329639998056982,0.7213339761579808,0.1878936854522791,0.1376217461565339,0.072263604030013,0.0474533314974802
23,ft_448,aircraft,hideit_base_patch16_224.fb_in1k,81.99,89.24609127579424,3.789087560790437,92.95829582958297,80.66906690669066,2.116128333733422,-3.2344175451796255,2.5803007501002893,1.428648628262575,-0.0418005173537744,-0.0521157896144712,0.267153529999639,0.262429957960985,0.3652668954842434,0.3635905308721464,0.1317844662571225,0.12141094514325639,0.0472993830648752,0.0389285493384367,0.5034271686038694,0.4382475381963683,0.3359037876945828,0.3709516340450339,0.8009934583403957,0.792141722128343,0.1766493055555555,0.116459752795248,0.05223017978744619,0.027876728173321895,4.245662198337791,0.5034271686038694,0.4382475381963683,0.3359037876945828,0.3709516340450339,0.8009934583403957,0.792141722128343,0.1766493055555555,0.116459752795248,0.05223017978744619,0.027876728173321895
23,ft_448,aircraft,hivit_base_patch16_224_miil.in21k,84.27,86.31929859652631,6.104757964389749,92.25622562256224,72.48724872487249,1.8420670122336036,-2.733111253078979,2.477680552662047,0.9687610867982408,-0.0385154877119711,-0.0659226236034144,0.1220216520062194,0.11751560529421609,0.1340269826872652,0.1317037826067598,0.0779316350605413,0.0796607486023759,0.0210485661354584,0.0184660601728367,0.4923777744989943,0.4237698440551837,0.2781784534326685,0.3002571538809872,0.6446376872630258,0.6298580636071707,0.1180444266381766,0.0863000087351502,0.0562443705036854,0.0351739003785751,7.072297926011436,0.4923777744989943,0.4237698440551837,0.2781784534326685,0.3002571538809872,0.6446376872630258,0.6298580636071707,0.1180444266381766,0.0863000087351502,0.0562443705036854,0.0351739003785751
23,ft_448,aircraft,hideit3_base_patch16_224.fb_in1k,83.79,88.69420275360869,6.0918043576977805,93.59135913591358,73.55985598559856,2.0598789044549983,-2.735373343050066,2.681290847531683,1.023215980145951,-0.0678777811949441,-0.0623333755353633,0.1494866281330585,0.1465901321089981,0.2148454918092133,0.212823581375506,0.0971053685897436,0.0919658455625436,0.0304468244982835,0.027025693711244796,0.5778522858651517,0.5188487818306243,0.3179446056103926,0.3553203110946028,0.8288344209628618,0.8178453464708471,0.2007211538461538,0.10940448113207539,0.0521217913199693,0.019806775563168,6.868323034168007,0.5778522858651517,0.5188487818306243,0.3179446056103926,0.3553203110946028,0.8288344209628618,0.8178453464708471,0.2007211538461538,0.10940448113207539,0.0521217913199693,0.019806775563168
23,ft_448,aircraft,hideit3_base_patch16_224.fb_in22k_ft_in1k,85.7,88.02630263026303,9.443846719229876,94.1029102910291,63.63036303630363,1.9949233051091912,-2.260606747930239,2.769930014205981,0.5593564854576311,-0.0425556194854517,-0.0314423228479428,0.1558043996478454,0.1494234864573854,0.2476363060077885,0.243963834894963,0.0826697716346153,0.0797262622292103,0.031908009487849,0.026891660296692,0.5909812639113802,0.5315633865946182,0.2822650601300606,0.3118851596130651,0.7883755097073304,0.7786665982839194,0.134620949074074,0.0828649109014675,0.0447470576335222,0.0211561269730142,10.72843733866328,0.5909812639113802,0.5315633865946182,0.2822650601300606,0.3118851596130651,0.7883755097073304,0.7786665982839194,0.134620949074074,0.0828649109014675,0.0447470576335222,0.0211561269730142
23,ft_448,aircraft,hivit_base_patch16_224.in1k_mocov3,83.2,84.87653765376538,11.949833086665889,91.77767776777677,52.24122412241224,1.7249503667112418,-1.9971894199688196,2.412516427314339,0.08970907930639371,-0.013414209772604902,-0.0248000005128638,0.293765817939504,0.2891649221982583,0.3272101800561235,0.3257322851811708,0.1013816550925926,0.0963683612858141,0.0293768229774939,0.0234581120546508,0.301372460166882,0.2640851030807573,0.44223362381403286,0.45785827956525516,0.7400227750529909,0.7359203874573346,0.1677127849002849,0.1228462395178197,0.0643727225848497,0.0371927957302369,14.079076994649013,0.301372460166882,0.2640851030807573,0.44223362381403286,0.45785827956525516,0.7400227750529909,0.7359203874573346,0.1677127849002849,0.1228462395178197,0.0643727225848497,0.0371927957302369
23,ft_448,aircraft,hivit_base_patch16_224.dino,82.8,70.83164566456645,27.928261465822725,89.06240624062406,13.86888688868887,0.8872215075499029,-0.9480228596025603,2.0971314937927716,-1.8262227283890644,-0.0152117915698435,-0.013582534544512501,0.3320623634314897,0.3228619367079867,0.378215318600804,0.3737359460646964,0.1553054331374644,0.1368836259608665,0.0393674045992203,0.029393357113472303,0.6488854095286315,0.5477708769495333,0.2959441129442269,0.3652070652908728,0.9034069499193986,0.8926309778578927,0.2080286792200854,0.1102976502445842,0.0678107326324933,0.0310096867241949,39.42907326773271,0.6488854095286315,0.5477708769495333,0.2959441129442269,0.3652070652908728,0.9034069499193986,0.8926309778578927,0.2080286792200854,0.1102976502445842,0.0678107326324933,0.0310096867241949
23,ft_448,aircraft,hivit_base_patch16_clip_224.laion2b,85.47,66.89881488148815,26.44868751593093,89.5994599459946,20.10801080108011,0.7036121662746014,-1.0227767559277625,2.1534915595054156,-1.3795573044233385,0.0672011572380822,0.073005096811199,0.2676861960621097,0.2673453130481441,0.3895493713736038,0.3909869019497027,0.1113990718482906,0.1008418501048218,0.0331312007724474,0.0296454214075076,0.5947372195172979,0.4965460228147586,0.3373773213011124,0.40553486790237125,0.8669922927151255,0.8553058246210764,0.1565991697827635,0.1005524982529699,0.0673291692749048,0.0377421261004681,39.53536032407303,0.5947372195172979,0.4965460228147586,0.3373773213011124,0.40553486790237125,0.8669922927151255,0.8553058246210764,0.1565991697827635,0.1005524982529699,0.0673291692749048,0.0377421261004681
23,ft_448,aircraft,hivit_base_patch16_siglip_224.v2_webli,79.2,79.82233937679482,20.489602746484877,95.03750375037504,43.65436543654366,1.3752273246489601,-1.3559702217867988,2.952362699746667,-0.2552014801626152,-0.0404243830437297,-0.0781247434595497,0.49519258786170417,0.4787931861575069,0.5055722555171114,0.4935366278201691,0.2442985165153134,0.2344104865478686,0.0246466142722429,0.0248316813190028,0.2150423924396146,0.1948771330682103,0.1621704476072344,0.1561401103368184,0.2455676777443801,0.236252616896755,0.1870186743233617,0.1716306887665968,0.0441814272736127,0.0375632179795571,25.66900808276914,0.2150423924396146,0.1948771330682103,0.1621704476072344,0.1561401103368184,0.2455676777443801,0.236252616896755,0.1870186743233617,0.1716306887665968,0.0441814272736127,0.0375632179795571
