serial,dataset_name,method,acc,acc_std,acc_max,acc_min,acc_z_score,acc_std_z_score,acc_max_z_score,acc_min_z_score
24,aircraft,hiresnet50.in21k_miil_fz,45.85,3.01,47.9148,37.7138,0.4514649276982591,-0.4132468205398244,0.4315333939289424,0.5103270494017357
24,aircraft,hiresnet50.fb_swsl_ig1b_ft_in1k_fz,48.44,3.06,50.135,40.024,0.7096958396501811,-0.3647653499736996,0.6618989724817289,0.7402470591720928
24,aircraft,hiresnet50.fb_ssl_yfcc100m_ft_in1k_fz,48.47,3.21,50.255,39.754,0.712686931294412,-0.21932093827532595,0.6743500441988424,0.7133756183280112
24,aircraft,hiresnet50.in1k_mocov3_fz,45.24,2.25,46.2946,38.9439,0.390646064265567,-1.1501651731449178,0.26342317396172127,0.6327513434102701
24,aircraft,hiresnet50.in1k_supcon_fz,42.93,2.81,44.3744,35.1335,0.16033200765979813,-0.6071727028043225,0.06418527470171713,0.25352564640179975
24,aircraft,hiresnet50.in1k_swav_fz,38.23,2.9,39.754,30.423,-0.3082723499363548,-0.5199060557852984,-0.41522248997952615,-0.21528147247243873
24,aircraft,hiresnet50.in1k_spark_fz,21.07,3.23,23.8224,13.4713,-2.01917677043635,-0.19992835004887613,-2.0682682747158454,-1.9023800049043311
24,cars,hivit_base_patch16_224.orig_in21k_fz,38.99,2.51,40.5795,32.297,-0.35198697084863756,-0.9554658063989067,-0.4001211075592744,-0.1841176820686086
24,cars,hideit_base_patch16_224.fb_in1k_fz,51.67,3.34,53.4884,42.5693,0.4054036602428798,-0.24254761266890096,0.38556051498363303,0.4291122466271431
24,cars,hivit_base_patch16_224_miil.in21k_fz,15.38,1.68,16.6397,11.1305,-1.7622387689614707,-1.668384000128912,-1.8571825850943628,-1.4477033722975374
24,cars,hideit3_base_patch16_224.fb_in22k_ft_in1k_fz,58.41,4.56,61.4351,46.5987,0.80799142471897,0.8053562383559264,0.8692249751515578,0.6696570783285793
24,cars,hideit3_base_patch16_224.fb_in1k_fz,55.77,4.65,58.724,43.8751,0.6503012617787807,0.8826606208085782,0.704217774934957,0.507065153073695
24,cars,hivit_base_patch16_224.in1k_mocov3_fz,51.35,5.31,54.5703,37.2964,0.3862897010986144,1.449559425461353,0.4514088016253434,0.11433365848039616
24,cars,hivit_base_patch16_224.dino_fz,61.29,4.69,63.7359,48.5263,0.980017057017359,0.9170181241208677,1.0092598562914477,0.7847298478693764
24,cars,hivit_base_patch16_clip_224.laion2b_fz,90.54,0.45,90.8842,89.6655,2.7271523850478707,-2.724877226981812,2.6616020692826106,3.2406344342424633
24,cars,hivit_base_patch16_siglip_224.v2_webli_fz,29.96,2.16,31.0782,24.1388,-0.8913590054508775,-1.2560939603814387,-0.9784040596517789,-0.6711412701925612
24,cars,hivit_base_patch16_224.mae_fz,17.01,4.5,22.92,8.9541,-1.664877039570369,0.7538199833874926,-1.4749411629703846,-1.5776288628705768
24,cars,hiresnet50.tv_in1k_fz,46.28,4.0,48.9118,35.6299,0.08345291090665904,0.32435119198387474,0.10701234172875689,0.014847888383001264
24,cars,hiresnet50.tv2_in1k_fz,37.16,3.02,38.9255,28.8894,-0.4612949247049058,-0.5174076391672162,-0.5007894374468691,-0.387542650675799
24,cars,hiresnet50.gluon_in1k_fz,42.38,3.41,44.1985,33.0307,-0.14949846616407572,-0.1824219818723942,-0.1798558803142897,-0.14031767635576173
24,cars,hiresnet50.a1_in1k_fz,35.34,4.05,37.6819,24.4124,-0.570005567337915,0.36729807112423635,-0.576479361901653,-0.6548080528516387
24,cars,hiresnet50.in21k_miil_fz,45.11,4.32,47.4692,33.4287,0.013567497785438493,0.5992112184821904,0.019210568635743726,-0.11655809849871836
24,cars,hiresnet50.fb_swsl_ig1b_ft_in1k_fz,53.01,4.62,55.5528,40.4179,0.485443364159491,0.8568924933243609,0.5112072503040381,0.30067919184914427
24,cars,hiresnet50.fb_ssl_yfcc100m_ft_in1k_fz,49.27,4.09,51.3866,38.1047,0.2620489666608892,0.40165557443652583,0.2576374824819728,0.16258709260564344
24,cars,hiresnet50.in1k_mocov3_fz,50.75,3.59,52.5308,40.7288,0.3504510277031166,-0.02781321696709203,0.32727756897374155,0.31923912339626687
24,cars,hiresnet50.in1k_supcon_fz,50.93,3.89,53.0531,40.2811,0.3612026297217659,0.2298680578750789,0.3590666068820189,0.292512583178683
24,cars,hiresnet50.in1k_swav_fz,42.27,4.17,44.3975,30.8668,-0.1560688896199169,0.47037058106110474,-0.1677440316760605,-0.26949694903128113
24,cars,hiresnet50.in1k_spark_fz,19.67,3.06,22.0619,12.1627,-1.5059922541836626,-0.4830501358549268,-1.5271681846611613,-1.3860836831919081
24,cub,hivit_base_patch16_224.orig_in21k_fz,82.29,0.79,82.9306,80.2727,1.597698006285755,-1.933339937146194,1.5743324137877754,1.7690874892010202
24,cub,hideit_base_patch16_224.fb_in1k_fz,66.22,2.03,67.6562,60.718,0.8320308622177423,-0.7633615043484507,0.8307760982960546,0.8827748908577071
24,cub,hivit_base_patch16_224_miil.in21k_fz,33.47,2.39,34.9154,26.9244,-0.7283673312002671,-0.4236903464394282,-0.7630428807965012,-0.6489128069016343
24,cub,hideit3_base_patch16_224.fb_in22k_ft_in1k_fz,80.51,1.66,81.5326,75.9924,1.5128885777579977,-1.1124679721993902,1.5062779089262146,1.575083806470583
24,cub,hideit3_base_patch16_224.fb_in1k_fz,68.68,2.53,70.107,61.7881,0.949239398272958,-0.2915960072525865,0.9500808053881243,0.9312769446599733
24,cub,hivit_base_patch16_224.in1k_mocov3_fz,61.16,4.0,63.3069,50.1553,0.5909433856163643,1.0953945542092545,0.6190525947235318,0.4040227707780884
24,cub,hivit_base_patch16_224.dino_fz,73.21,2.35,74.5599,66.7069,1.1650746293014638,-0.4614315862070974,1.166847546946096,1.1542205034326005
24,cub,hivit_base_patch16_clip_224.laion2b_fz,76.31,1.03,77.2351,74.0939,1.312776443029581,-1.706892498540179,1.2970760243464166,1.4890346997108383
24,cub,hivit_base_patch16_siglip_224.v2_webli_fz,37.17,2.49,38.8505,30.4108,-0.5520780696538048,-0.3293372470202553,-0.5714825931851076,-0.490892472001885
24,cub,hivit_base_patch16_224.mae_fz,16.2,4.63,22.1436,7.2144,-1.5512093709049701,1.6898190805500433,-1.3847728702034277,-1.5422643445548176
24,cub,hiresnet50.tv_in1k_fz,44.05,3.99,46.3065,33.3103,-0.22427533467011326,1.0859592442673374,-0.20852523392344938,-0.35947325417208265
24,cub,hiresnet50.tv2_in1k_fz,33.13,2.93,34.7428,25.0431,-0.7445668849639958,0.08581639042410519,-0.771445032112027,-0.734182327337298
24,cub,hiresnet50.gluon_in1k_fz,39.87,3.37,41.543,30.5834,-0.42343455447125156,0.5009700278684657,-0.44041195345710127,-0.4830694138893055
24,cub,hiresnet50.a1_in1k_fz,27.59,3.84,29.8585,17.5354,-1.00852431982005,0.9444295951385778,-1.0092122839684805,-1.0744672253199872
24,cub,hiresnet50.in21k_miil_fz,59.39,3.36,61.4256,50.1899,0.5066104145522461,0.4915347179265482,0.5274710925804316,0.4055910083835072
24,cub,hiresnet50.fb_swsl_ig1b_ft_in1k_fz,55.85,4.0,58.0773,44.7705,0.3379444724240094,1.0953945542092545,0.364476172245693,0.15995786159722283
24,cub,hiresnet50.fb_ssl_yfcc100m_ft_in1k_fz,54.39,3.76,56.5758,44.1836,0.2683816827327027,0.8689471156032395,0.2913832973890165,0.13335674452727594
24,cub,hiresnet50.in1k_mocov3_fz,36.7,3.22,38.6607,27.9772,-0.5744715704448418,0.35944037873970647,-0.5807220388379861,-0.6011948719020771
24,cub,hiresnet50.in1k_supcon_fz,36.82,3.2,38.8678,28.2016,-0.5687540808811729,0.3405697588558719,-0.5706404308574213,-0.5910239898599983
24,cub,hiresnet50.in1k_swav_fz,29.31,2.75,30.7214,21.7121,-0.9265736360741271,-0.08401918853040607,-0.9672063953811838,-0.8851591904485488
24,cub,hiresnet50.in1k_spark_fz,11.58,1.3,12.3749,8.2844,-1.771332719106228,-1.4521391301084123,-1.8603122419066678,-1.4937668232311796
24,all,hivit_base_patch16_224.orig_in21k_fz,53.41,20.88,82.9306,31.5932,0.5668929836859234,3.206006543726595,1.5238665576275097,0.1789400648114661
24,all,hideit_base_patch16_224.fb_in1k_fz,53.8,10.04,67.6562,33.2733,0.5931430743535762,0.6046330644397582,0.6899888582601891,0.3214179713654291
24,all,hivit_base_patch16_224_miil.in21k_fz,25.4,8.01,34.9154,11.1305,-1.3184019896498458,0.11747548483161442,-1.097434738047723,-1.5563629876507563
24,all,hideit3_base_patch16_224.fb_in22k_ft_in1k_fz,63.58,13.04,81.5326,40.084,1.2514145787885573,1.324570374205488,1.4475453257810533,0.8989873292411965
24,all,hideit3_base_patch16_224.fb_in1k_fz,56.89,10.19,70.107,34.6535,0.8011245619511318,0.6406299299280447,0.823785764561545,0.4384633892725657
24,all,hivit_base_patch16_224.in1k_mocov3_fz,52.8,7.96,63.3069,32.8833,0.5258351495647232,0.1054765296688523,0.4525468456208522,0.28834471170466747
24,all,hivit_base_patch16_224.dino_fz,63.4,8.18,74.5599,47.1047,1.239299152326564,0.15827193238500578,1.066883628144582,1.494365365395835
24,all,hivit_base_patch16_clip_224.laion2b_fz,75.65,12.76,90.8842,52.8653,2.0638212309900124,1.25737622529402,1.9580786818149034,1.9828828515542538
24,all,hivit_base_patch16_siglip_224.v2_webli_fz,32.63,3.98,38.8505,24.1388,-0.831765693426439,-0.849640301287016,-0.8826052105520215,-0.4532171321505375
24,all,hivit_base_patch16_224.mae_fz,18.83,5.96,31.0231,7.2144,-1.7606150555126092,-0.37448167684163425,-1.3099276784740193,-1.8884609162597525
24,all,hiresnet50.tv_in1k_fz,44.76,3.79,48.9118,33.3103,-0.015320565737653868,-0.8952363309055121,-0.33332709182759207,0.32455569087170644
24,all,hiresnet50.tv2_in1k_fz,35.41,3.19,38.9255,25.0431,-0.6446496625134285,-1.0392237928586583,-0.8785107238649796,-0.3765295713525203
24,all,hiresnet50.gluon_in1k_fz,40.86,3.36,44.1985,30.5834,-0.27782147241418004,-0.9984273453052669,-0.5906410131880376,0.09330576325906345
24,all,hiresnet50.a1_in1k_fz,32.23,5.05,37.6819,17.5354,-0.8586888633419806,-0.5928626608039057,-0.9464027724517131,-1.0132067804681613
24,all,hiresnet50.in21k_miil_fz,50.12,7.53,61.4256,33.4287,0.34544991113059753,0.0022855152690977602,0.3498407415630995,0.33459639329179414
24,all,hiresnet50.fb_swsl_ig1b_ft_in1k_fz,52.43,4.91,58.0773,40.024,0.5009312173928478,-0.6264597352596397,0.16704647790681182,0.893899135447233
24,all,hiresnet50.fb_ssl_yfcc100m_ft_in1k_fz,50.71,4.46,56.5758,38.1047,0.38516158675602097,-0.7344503317244993,0.08507485443223789,0.7311362963013361
24,all,hiresnet50.in1k_mocov3_fz,44.23,6.58,52.5308,27.9772,-0.05099376587574597,-0.2256946328233834,-0.13575446088887544,-0.12770841450472364
24,all,hiresnet50.in1k_supcon_fz,43.56,6.7,53.0531,28.2016,-0.09609007548427705,-0.1968971404327542,-0.10724045560031728,-0.10867856971530088
24,all,hiresnet50.in1k_swav_fz,36.6,6.38,44.3975,21.7121,-0.5645532320146932,-0.2736904534744321,-0.5797769751784205,-0.6590091301473843
24,all,hiresnet50.in1k_spark_fz,17.44,4.98,23.8224,8.2844,-1.8541730709691144,-0.6096611980317725,-1.7030366156390973,-1.7977214602674065
