serial,setting,dataset_name,method,seed,img_per_class,acc_mean,acc_std,acc_max,lr_acc_max,acc_min,ada_ratio,cva,acc_mean_std_latex,acc_mean_std
102,,all,hideit3_base_patch16_224.fb_in1k,0,5.0,37.5488,13.2534,47.43474347434744,0.03,5.9705970597059705,35.29652675100014,-39.40725366037179,37.5488\pm{13.2534},37.5488+-13.2534
102,,all,hideit3_base_patch16_224.fb_in22k_ft_in1k,0,1.0,17.4232,13.448,48.75733517431826,0.1,2.6986693197363514,77.18450387996363,-39.57221484806243,17.4232\pm{13.448},17.4232+-13.448
102,,all,hideit3_base_patch16_224.fb_in22k_ft_in1k,0,3.0,41.2662,24.0764,74.87055574732481,0.03,5.2505250525052505,58.344054773890555,-71.64569643684436,41.2662\pm{24.0764},41.2662+-24.0764
102,,all,hideit3_base_patch16_224.fb_in22k_ft_in1k,0,5.0,37.5188,12.9362,49.11491149114912,0.0001,6.330633063306331,34.479255584300866,-38.46376649741373,37.5188\pm{12.9362},37.5188+-12.9362
102,,all,hivit_base_patch16_224.in1k_mocov3,0,1.0,7.6598,1.3308,9.78097809780978,0.001,5.670567056705671,17.373582737367922,-3.8185915109251787,7.6598\pm{1.3308},7.6598+-1.3308
102,,all,hivit_base_patch16_224.in1k_mocov3,0,3.0,19.3039,4.4433,26.04260426042604,0.0001,10.231023102310232,23.017635173548285,-13.099748464340992,19.3039\pm{4.4433},19.3039+-4.4433
102,,all,hivit_base_patch16_224.in1k_mocov3,0,5.0,27.2937,11.3766,39.12391239123912,0.0001,4.41044104410441,41.68217671354987,-33.71303975970187,27.2937\pm{11.3766},27.2937+-11.3766
102,,all,hivit_base_patch16_224.dino,0,1.0,9.661,2.8596,12.84128412841284,0.0001,3.5103510351035103,29.599023188252637,-8.28266455355163,9.661\pm{2.8596},9.661+-2.8596
102,,all,hivit_base_patch16_224.dino,0,3.0,19.601,11.1748,32.553255325532554,5e-05,3.4803480348034803,57.011727960701094,-32.9544208632607,19.601\pm{11.1748},19.601+-11.1748
102,,all,hivit_base_patch16_224.dino,0,5.0,26.3156,15.6441,41.07410741074107,0.0001,3.3903390339033903,59.44795741264035,-46.337836759471124,26.3156\pm{15.6441},26.3156+-15.6441
102,,all,hivit_base_patch16_clip_224.laion2b,0,1.0,7.5057,6.3325,19.72391493595324,5e-05,1.2933714712100486,84.36888638002344,-18.153705476408128,7.5057\pm{6.3325},7.5057+-6.3325
102,,all,hivit_base_patch16_clip_224.laion2b,0,3.0,16.5497,13.9978,37.86378637863786,5e-05,2.9702970297029703,84.58061980881462,-41.14759604002359,16.5497\pm{13.9978},16.5497+-13.9978
102,,all,hivit_base_patch16_clip_224.laion2b,0,5.0,20.072,17.9952,47.67476747674768,5e-06,1.32013201320132,89.65340155789772,-53.08917763359615,20.072\pm{17.9952},20.072+-17.9952
102,,all,hivit_base_patch16_siglip_224.v2_webli,0,1.0,6.2226,1.8592,9.030903090309032,0.03,3.2703270327032703,29.877675546981497,-5.278747914596758,6.2226\pm{1.8592},6.2226+-1.8592
102,,all,hivit_base_patch16_siglip_224.v2_webli,0,3.0,15.8596,9.2989,29.402940294029403,5e-05,3.5703570357035703,58.63267543730295,-27.31037192803772,15.8596\pm{9.2989},15.8596+-9.2989
102,,all,hivit_base_patch16_siglip_224.v2_webli,0,5.0,29.682,19.1839,56.04560456045605,0.01,3.66036603660366,64.63153008942926,-56.905415317892725,29.682\pm{19.1839},29.682+-19.1839
102,,all,hivit_base_patch16_224.mae,0,1.0,4.0044,1.3397,7.470747074707471,0.0005,2.226091282178833,33.455605043341045,-3.684552849705459,4.0044\pm{1.3397},4.0044+-1.3397
102,,all,hivit_base_patch16_224.mae,0,3.0,12.5053,5.9818,23.73237323732373,0.0001,5.190519051905191,47.83456483040983,-17.467150860530122,12.5053\pm{5.9818},12.5053+-5.9818
102,,all,hivit_base_patch16_224.mae,0,5.0,19.3339,11.9468,40.26402640264026,0.0001,4.950495049504951,61.79173526501208,-35.22240146352791,19.3339\pm{11.9468},19.3339+-11.9468
102,,aircraft_baseline,hiresnet50.tv_in1k,0,1.0,13.6274,2.7101,16.141614161416143,5e-05,7.260726072607261,19.887446537466964,-7.9315289705546705,13.6274\pm{2.7101},13.6274+-2.7101
102,,aircraft_baseline,hiresnet50.tv_in1k,0,3.0,32.4962,4.8464,38.4038403840384,0.0001,21.062106210621064,14.913719183586615,-14.39006105095681,32.4962\pm{4.8464},32.4962+-4.8464
102,,aircraft_baseline,hiresnet50.tv_in1k,0,5.0,45.2265,5.1717,50.37503750375038,0.0001,32.19321932193219,11.435127340424419,-15.40078009739303,45.2265\pm{5.1717},45.2265+-5.1717
102,,cars_baseline,hiresnet50.tv_in1k,0,1.0,10.4415,2.4343,13.34411142892675,0.0001,4.676035318990175,23.313924486462795,-7.069822202281559,10.4415\pm{2.4343},10.4415+-2.4343
102,,cub_baseline,hiresnet50.tv_in1k,0,1.0,15.4125,3.8803,18.70900931998619,0.0001,5.937176389368312,25.17635723572119,-11.389151345574625,15.4125\pm{3.8803},15.4125+-3.8803
102,,cub_baseline,hiresnet50.tv_in1k,0,3.0,42.8305,12.5609,50.88022091819124,5e-05,15.25716258198136,29.326963533881873,-37.389398317205846,42.8305\pm{12.5609},42.8305+-12.5609
102,,aircraft_baseline,hiresnet50.tv2_in1k,0,1.0,14.5845,1.2042,16.111611161116112,0.0005,12.511251125112512,8.25639944116322,-3.529889442446551,14.5845\pm{1.2042},14.5845+-1.2042
102,,aircraft_baseline,hiresnet50.tv2_in1k,0,3.0,33.4503,2.7617,37.08370837083709,0.0001,27.482748274827483,8.25602524749677,-8.202446541795194,33.4503\pm{2.7617},33.4503+-2.7617
102,,aircraft_baseline,hiresnet50.tv2_in1k,0,5.0,46.3816,2.7046,50.67506750675067,0.0001,41.46414641464146,5.831223454444212,-8.055538654947284,46.3816\pm{2.7046},46.3816+-2.7046
102,,cars_baseline,hiresnet50.tv2_in1k,0,1.0,9.6294,1.4591,11.702524561621688,0.0001,7.250341997264022,15.152255018273465,-4.225690878737478,9.6294\pm{1.4591},9.6294+-1.4591
102,,cub_baseline,hiresnet50.tv2_in1k,0,1.0,15.1933,3.4892,20.210562651018297,5e-05,8.405246807041767,22.965401230034104,-10.237955257357422,15.1933\pm{3.4892},15.1933+-3.4892
102,,cub_baseline,hiresnet50.tv2_in1k,0,3.0,44.1405,7.9764,52.39903348291336,5e-05,26.993441491197792,18.070460655422906,-23.748465117079228,44.1405\pm{7.9764},44.1405+-7.9764
102,,aircraft_baseline,hiresnet50.gluon_in1k,0,1.0,14.3744,2.5876,16.951695169516952,0.0001,8.730873087308732,18.00160893923041,-7.582873958119209,14.3744\pm{2.5876},14.3744+-2.5876
102,,aircraft_baseline,hiresnet50.gluon_in1k,0,3.0,33.8034,4.7528,39.12391239123912,0.0001,23.85238523852385,14.059995269040549,-14.117661076219605,33.8034\pm{4.7528},33.8034+-4.7528
102,,aircraft_baseline,hiresnet50.gluon_in1k,0,5.0,46.2556,3.9048,49.774977497749774,0.0001,36.78367836783679,8.441782980246478,-11.629980748636775,46.2556\pm{3.9048},46.2556+-3.9048
102,,cars_baseline,hiresnet50.gluon_in1k,0,1.0,11.4749,2.6998,14.6623554284293,0.0001,4.875015545330183,23.527787187903836,-7.864121172373743,11.4749\pm{2.6998},11.4749+-2.6998
102,,cub_baseline,hiresnet50.gluon_in1k,0,1.0,18.136,5.1757,23.748705557473247,5e-05,6.972730410769762,28.538211968760628,-15.241690612504492,18.136\pm{5.1757},18.136+-5.1757
102,,cub_baseline,hiresnet50.gluon_in1k,0,3.0,44.9896,12.1628,53.33103210217466,5e-05,18.570935450466,27.03466289313316,-36.218049520635574,44.9896\pm{12.1628},44.9896+-12.1628
