serial,setting,method,acc,acc_std,acc_max,trainable_percent,no_params,no_params_trainable,no_params_total,no_params_trainable_total,flops,time_train,tp_train,vram_train
24,,hivit_base_patch16_224.mae_fz,18.82513,5.9579448355579565,31.0231,0.07448172969700649,86.77743333333332,0.06463333333333333,260.3323,0.1939,78.5172,1.5701154444444445,246.01524896738655,0.8125
24,,hiresnet50.tv_in1k_fz,44.76441333333333,3.791716493997219,48.9118,0.26058430554080986,24.803233333333335,0.06463333333333333,74.4097,0.1939,16.3943,0.8236321666666666,468.3206031868252,8.6172
24,,hiresnet50.tv2_in1k_fz,35.409650000000006,3.1947861338760872,38.9255,0.26058430554080986,24.803233333333335,0.06463333333333333,74.4097,0.1939,16.3943,0.8215823333333333,469.8766320885176,8.6172
24,,hiresnet50.gluon_in1k_fz,40.86374,3.362275900656864,44.1985,0.26058430554080986,24.803233333333335,0.06463333333333333,74.4097,0.1939,16.3943,0.8326158888888888,463.1589931886949,8.6172
24,,hiresnet50.a1_in1k_fz,32.22978,5.047372746728122,37.6819,0.26058430554080986,24.803233333333335,0.06463333333333333,74.4097,0.1939,16.3943,0.8379539444444445,460.4682928173751,8.6172
24,,hiresnet50.in21k_miil_fz,50.11656333333334,7.5286342560727935,61.4256,0.26058430554080986,24.803233333333335,0.06463333333333333,74.4097,0.1939,16.3943,1.1132215555555556,346.9845298846415,4.3984
24,,hiresnet50.fb_swsl_ig1b_ft_in1k_fz,52.434020000000004,4.9114837471884725,58.0773,0.26058430554080986,24.803233333333335,0.06463333333333333,74.4097,0.1939,16.3943,0.861383,448.6023882851224,8.6172
24,,hiresnet50.fb_ssl_yfcc100m_ft_in1k_fz,50.70903666666666,4.459932037172252,56.5758,0.26058430554080986,24.803233333333335,0.06463333333333333,74.4097,0.1939,16.3943,0.8422317222222222,458.2069304248364,8.6172
24,,hiresnet50.in1k_mocov3_fz,44.23205333333333,6.584064288334334,52.5308,0.26058430554080986,24.803233333333335,0.06463333333333333,74.4097,0.1939,16.3943,1.1757313333333335,335.75772093074573,4.3984
24,,hiresnet50.in1k_supcon_fz,43.560230000000004,6.697668898703127,53.0531,0.26058430554080986,24.803233333333335,0.06463333333333333,74.4097,0.1939,16.3943,1.112220777777778,347.2254544407653,4.3984
24,,hiresnet50.in1k_swav_fz,36.6022,6.377395874438902,44.3975,0.26058430554080986,24.803233333333335,0.06463333333333333,74.4097,0.1939,16.3943,1.1189069444444444,345.1012191224558,4.3984
24,,hiresnet50.in1k_spark_fz,17.44192333333333,4.9782061212839,23.8224,0.26058430554080986,24.803233333333335,0.06463333333333333,74.4097,0.1939,16.3943,1.1477343333333332,339.606916439934,4.3984
