serial,setting,dataset_name,method,acc_mean,acc_std,acc_max,lr_acc_max,acc_min,ada_ratio,cva,acc_mean_std_latex,acc_mean_std
23,ft_448,all,hiresnet50.fb_ssl_yfcc100m_ft_in1k,89.727,4.9926,94.5668085209642,0.03,71.36266807124281,5.56416562934259,-14.92204131862198,89.727\pm{4.9926},89.727+-4.9926
23,ft_448,all,hiresnet50.in1k_supcon,89.7437,5.1273,94.8117119275906,0.03,73.81849887299268,5.713220061965737,-15.324627487855972,89.7437\pm{5.1273},89.7437+-5.1273
23,ft_448,all,hiresnet50.in1k_swav,91.1248,2.9897,94.23042304230422,0.0001,84.03747797900563,3.2808810633229664,-8.936280774759583,91.1248\pm{2.9897},91.1248+-2.9897
23,ft_448,all,hiresnet50.in1k_mocov3,90.9371,3.4903,94.4959495949595,0.0001,83.06917308329677,3.8381772711823614,-10.432601522877968,90.9371\pm{3.4903},90.9371+-3.4903
23,ft_448,all,hiresnet50.in1k_spark,83.964,8.4762,92.81159666465462,0.01,60.066184704591606,10.095023528339624,-25.32760549919781,83.964\pm{8.4762},83.964+-8.4762
23,ft_448,all,hivit_base_patch16_224.orig_in21k,85.2021,9.9048,92.57763560875586,0.03,46.417024343083305,11.625055555967073,-29.598131080562144,85.2021\pm{9.9048},85.2021+-9.9048
23,ft_448,all,hideit_base_patch16_224.fb_in1k,85.7961,11.1813,93.5240429384769,0.03,46.90227698113312,13.032405023848034,-33.413574574177254,85.7961\pm{11.1813},85.7961+-11.1813
23,ft_448,all,hivit_base_patch16_224_miil.in21k,82.4443,14.6818,92.25622562256224,0.01,35.34525799181633,17.808203253712648,-43.86745796220202,82.4443\pm{14.6818},82.4443+-14.6818
23,ft_448,all,hideit3_base_patch16_224.fb_in1k,86.0079,11.4478,93.59135913591358,0.01,41.032695241764,13.310211024949648,-34.210384845217106,86.0079\pm{11.4478},86.0079+-11.4478
23,ft_448,all,hideit3_base_patch16_224.fb_in22k_ft_in1k,85.4817,14.653,94.1029102910291,0.01,36.81607707932509,17.141724249952837,-43.78770124956271,85.4817\pm{14.653},85.4817+-14.653
23,ft_448,all,hivit_base_patch16_224.in1k_mocov3,82.3507,15.7503,92.99092152717324,0.01,35.656771242504114,19.125824543822624,-47.05951153193023,82.3507\pm{15.7503},82.3507+-15.7503
23,ft_448,all,hivit_base_patch16_224.dino,69.2989,27.2554,90.08320164037356,0.003,4.312532417700747,39.3302174932406,-81.37292533125554,69.2989\pm{27.2554},69.2989+-27.2554
