serial,setting,dataset_name,method,acc,acc_std,acc_max,acc_mean_std_latex,acc_mean_std
24,,cars,hiresnet50.fb_swsl_ig1b_ft_in1k_fz,53.01,4.62,55.5528,53.01\pm{4.62},53.01+-4.62
24,,cars,hiresnet50.fb_ssl_yfcc100m_ft_in1k_fz,49.27,4.09,51.3866,49.27\pm{4.09},49.27+-4.09
24,,cars,hiresnet50.a1_in1k_fz,35.34,4.05,37.6819,35.34\pm{4.05},35.34+-4.05
24,,cars,hiresnet50.in1k_mocov3_fz,50.75,3.59,52.5308,50.75\pm{3.59},50.75+-3.59
24,,cars,hiresnet50.in1k_spark_fz,19.67,3.06,22.0619,19.67\pm{3.06},19.67+-3.06
24,,cars,hiresnet50.in21k_miil_fz,47.04,0.38,47.4692,47.04\pm{0.38},47.04+-0.38
24,,cars,hivit_base_patch16_224.orig_in21k_fz,38.99,2.51,40.5795,38.99\pm{2.51},38.99+-2.51
24,,cars,hideit_base_patch16_224.fb_in1k_fz,51.67,3.34,53.4884,51.67\pm{3.34},51.67+-3.34
24,,cars,hivit_base_patch16_224_miil.in21k_fz,15.38,1.68,16.6397,15.38\pm{1.68},15.38+-1.68
24,,cars,hideit3_base_patch16_224.fb_in22k_ft_in1k_fz,58.41,4.56,61.4351,58.41\pm{4.56},58.41+-4.56
24,,cars,hideit3_base_patch16_224.fb_in1k_fz,55.77,4.65,58.724,55.77\pm{4.65},55.77+-4.65
24,,cars,hivit_base_patch16_224.in1k_mocov3_fz,51.35,5.31,54.5703,51.35\pm{5.31},51.35+-5.31
24,,cars,hivit_base_patch16_224.dino_fz,61.29,4.69,63.7359,61.29\pm{4.69},61.29+-4.69
24,,cars,hivit_base_patch16_224.mae_fz,17.01,4.5,22.92,17.01\pm{4.5},17.01+-4.5
24,,cars,hivit_base_patch16_clip_224.laion2b_fz,90.54,0.45,90.8842,90.54\pm{0.45},90.54+-0.45
24,,cars,hivit_base_patch16_siglip_224.v2_webli_fz,29.96,2.16,31.0782,29.96\pm{2.16},29.96+-2.16
24,,cub,hiresnet50.tv_in1k_fz,44.05,3.99,46.3065,44.05\pm{3.99},44.05+-3.99
24,,cub,hiresnet50.tv2_in1k_fz,33.13,2.93,34.7428,33.13\pm{2.93},33.13+-2.93
24,,cub,hiresnet50.gluon_in1k_fz,39.87,3.37,41.543,39.87\pm{3.37},39.87+-3.37
24,,cub,hiresnet50.fb_swsl_ig1b_ft_in1k_fz,55.85,4.0,58.0773,55.85\pm{4.0},55.85+-4.0
24,,cub,hiresnet50.fb_ssl_yfcc100m_ft_in1k_fz,54.39,3.76,56.5758,54.39\pm{3.76},54.39+-3.76
24,,cub,hiresnet50.a1_in1k_fz,27.59,3.84,29.8585,27.59\pm{3.84},27.59+-3.84
24,,cub,hiresnet50.in1k_byol_fz,5.1,0.43,5.5402,5.1\pm{0.43},5.1+-0.43
24,,cub,hiresnet50.in1k_mocov3_fz,36.7,3.22,38.6607,36.7\pm{3.22},36.7+-3.22
24,,cub,hiresnet50.in1k_spark_fz,11.58,1.3,12.3749,11.58\pm{1.3},11.58+-1.3
24,,cub,hiresnet50.in1k_supcon_fz,36.82,3.2,38.8678,36.82\pm{3.2},36.82+-3.2
24,,cub,hiresnet50.in1k_swav_fz,2.48,0.17,2.7442,2.48\pm{0.17},2.48+-0.17
24,,cub,hiresnet50.in21k_miil_fz,59.39,3.36,61.4256,59.39\pm{3.36},59.39+-3.36
24,,cub,hivit_base_patch16_224.orig_in21k_fz,82.29,0.79,82.9306,82.29\pm{0.79},82.29+-0.79
24,,cub,hideit_base_patch16_224.fb_in1k_fz,66.22,2.03,67.6562,66.22\pm{2.03},66.22+-2.03
24,,cub,hivit_base_patch16_224_miil.in21k_fz,33.47,2.39,34.9154,33.47\pm{2.39},33.47+-2.39
24,,cub,hideit3_base_patch16_224.fb_in22k_ft_in1k_fz,80.51,1.66,81.5326,80.51\pm{1.66},80.51+-1.66
24,,cub,hideit3_base_patch16_224.fb_in1k_fz,68.68,2.53,70.107,68.68\pm{2.53},68.68+-2.53
24,,cub,hivit_base_patch16_224.in1k_mocov3_fz,61.16,4.0,63.3069,61.16\pm{4.0},61.16+-4.0
24,,cub,hivit_base_patch16_224.dino_fz,73.21,2.35,74.5599,73.21\pm{2.35},73.21+-2.35
24,,cub,hivit_base_patch16_224.mae_fz,16.2,4.63,22.1436,16.2\pm{4.63},16.2+-4.63
24,,cub,hivit_base_patch16_clip_224.laion2b_fz,76.31,1.03,77.2351,76.31\pm{1.03},76.31+-1.03
24,,cub,hivit_base_patch16_siglip_224.v2_webli_fz,37.17,2.49,38.8505,37.17\pm{2.49},37.17+-2.49
24,,all,hiresnet50.tv_in1k_fz,44.76,3.79,48.9118,44.76\pm{3.79},44.76+-3.79
24,,all,hiresnet50.tv2_in1k_fz,35.41,3.19,38.9255,35.41\pm{3.19},35.41+-3.19
24,,all,hiresnet50.gluon_in1k_fz,40.86,3.36,44.1985,40.86\pm{3.36},40.86+-3.36
24,,all,hiresnet50.fb_swsl_ig1b_ft_in1k_fz,52.43,4.91,58.0773,52.43\pm{4.91},52.43+-4.91
24,,all,hiresnet50.fb_ssl_yfcc100m_ft_in1k_fz,50.71,4.46,56.5758,50.71\pm{4.46},50.71+-4.46
